id,path,type,duration,text_cyrillic,text_latin,text_spt,ref_normalized,hyp_normalized,wer,cer,sequence_similarity,ref_word_count,hyp_word_count,word_count
16,1038-66.wav,train,8.4945,Рим Папаси Франциск Туркияга сафарининг иккинчи кунида Истанбулга борган.,Rim Papasi Fransisk Turkiyaga safarining ikkinchi kunida Istanbulga borgan.,Rim papasi Fransisk Turkiyaga safarining ikkinchi kunida Istanbulga borgan.,rim papasi fransisk turkiyaga safarining ikkinchi kunida istanbulga borgan,rim papasi fransisk turkiyaga safarining ikkinchi kunida istanbulga borgan,0.0,0.0,1.0,9,9,9
18,1015-98.wav,train,13.15,"Ўзбекистондан келаётган хабарларга кўра, республикадаги нодавлат телеканаллар тармоғида бўлган яна 5 та телеканал эфири тўхтатилган.","O'zbekistondan kelayotgan xabarlarga ko'ra, respublikadagi nodavlat telekanallar tarmog'ida bo'lgan yana 5 ta telekanal efiri to'xtatilgan.","O'zbekistondan kelayotgan xabarlarga ko'ra, respublikadagi nodavlat telekanallar tarmog'ida bo'lgan yana beshta telekanal efiri to'xtatilgan.",o'zbekistondan kelayotgan xabarlarga ko'ra respublikadagi nodavlat telekanallar tarmog'ida bo'lgan yana beshta telekanal efiri to'xtatilgan,o'zbekistondan kelayotgan xabarlarga ko'ra respublikadagi nodavlat telekanallar tarmog'ida bo'lgan yana beshta telekanal efiri to'xtatilgan,0.0,0.0,1.0,14,14,15
19,1067-93.wav,train,16.5614375,Маъмурий ишлар бўйича Шайхонтоҳур туман суди рўмоли сабаб Халқаро Ислом академиясидан ҳайдалган талаба Луиза Мўминжонованинг даъвосини қондирмади.,Ma'muriy ishlar bo'yicha Shayxontohur tuman sudi ro'moli sabab Xalqaro Islom akademiyasidan haydalgan talaba Luiza Mo'minjonovaning da'vosini qondirmadi.,Ma'muriy ishlar bo'yicha Shayxontohur tuman sudi ro'moli sabab Xalqaro islom akademiyasidan haydalgan talaba Luiza Mo'minjonovaning da'vosini qondirmadi.,ma'muriy ishlar bo'yicha shayxontohur tuman sudi ro'moli sabab xalqaro islom akademiyasidan haydalgan talaba luiza mo'minjonovaning da'vosini qondirmadi,ma'muriy ishlar bo'yicha shayxontohur tuman sudi ro'moli sabab xalqaro islom akademiyasidan haydalgan talaba luiza mo'minjonovaning da'vosini qondirmadi,0.0,0.0,1.0,17,17,17
20,1011-86.wav,train,14.3786875,Бироқ асосий муаммо иқтисодиёт билан боғлиқ эмас: мамлакатда қариндошлари қарамоғида қолган бутун бошли авлод вояга етмоқда.,Biroq asosiy muammo iqtisodiyot bilan bog'liq emas: mamlakatda qarindoshlari qaramog'ida qolgan butun boshli avlod voyaga yetmoqda.,"Biroq, asosiy muammo iqtisodiyot bilan bog'liq emas. Mamlakatda qarindoshlari qaramog'ida qolgan butun boshli avlod voyaga yetmoqda.",biroq asosiy muammo iqtisodiyot bilan bog'liq emas mamlakatda qarindoshlari qaramog'ida qolgan butun boshli avlod voyaga yetmoqda,biroq asosiy muammo iqtisodiyot bilan bog'liq emas mamlakatda qarindoshlari qaramog'ida qolgan butun boshli avlod voyaga yetmoqda,0.0,0.0,1.0,16,16,16
22,1062-26.wav,train,12.8469375,Журналист Бобомурод Абдуллаев устидан кечган маҳкама жараёни Ўзбекистонда ўтган 2018 йилнинг энг йирик сиёсий маҳкамаси бўлган.,Jurnalist Bobomurod Abdullayev ustidan kechgan mahkama jarayoni O'zbekistonda o'tgan 2018-yilning eng yirik siyosiy mahkamasi bo'lgan.,Jurnalist Bobomurod Abdullayev ustidan kechgan mahkama jarayoni O'zbekistonda o'tgan 2018-yilning eng yirik siyosiy mahkamasi bo'lgan.,jurnalist bobomurod abdullayev ustidan kechgan mahkama jarayoni o'zbekistonda o'tgan ikki ming o'n sakkizinchi yilning eng yirik siyosiy mahkamasi bo'lgan,jurnalist bobomurod abdullayev ustidan kechgan mahkama jarayoni o'zbekistonda o'tgan ikki ming o'n sakkizinchi yilning eng yirik siyosiy mahkamasi bo'lgan,0.0,0.0,1.0,19,19,16
23,1024-104.wav,train,11.1016875,Россия қўшинлари Украинага қарши урушга тайёргарлик кўряптими? Ғарб ва Россия музокара қилиб кўрди.,Rossiya qo'shinlari Ukrainaga qarshi urushga tayyorgarlik ko'ryaptimi? G'arb va Rossiya muzokara qilib ko'rdi.,Rossiya qo'shinlari Ukrainaga qarshi urushga tayyorgarlik ko'ryaptimi? G'arb va Rossiya muzokara qilib ko'rdi.,rossiya qo'shinlari ukrainaga qarshi urushga tayyorgarlik ko'ryaptimi g'arb va rossiya muzokara qilib ko'rdi,rossiya qo'shinlari ukrainaga qarshi urushga tayyorgarlik ko'ryaptimi g'arb va rossiya muzokara qilib ko'rdi,0.0,0.0,1.0,13,13,13
24,1040-37.wav,train,9.577125,Колин Пауэлл Ўзбекистонга шахсан ташриф буюрган учинчи АҚШ Давлат котиби бўлади.,Kolin Pauell O'zbekistonga shaxsan tashrif buyurgan uchinchi AQSH Davlat kotibi bo'ladi.,Kolin Pauell O'zbekistonga shaxsan tashrif buyurgan uchinchi AQSH davlat kotibi bo'ladi.,kolin pauell o'zbekistonga shaxsan tashrif buyurgan uchinchi aqsh davlat kotibi bo'ladi,kolin pauell o'zbekistonga shaxsan tashrif buyurgan uchinchi aqsh davlat kotibi bo'ladi,0.0,0.0,1.0,11,11,11
30,1006-97.wav,train,8.1975,мана бу ердан жавоб топишингиз мумкинлигини эслатамиз.,mana bu yerdan javob topishingiz mumkinligini eslatamiz.,Mana bu yerdan javob topishingiz mumkinligini eslatamiz.,mana bu yerdan javob topishingiz mumkinligini eslatamiz,mana bu yerdan javob topishingiz mumkinligini eslatamiz,0.0,0.0,1.0,7,7,7
32,1023-110.wav,train,16.2521875,Ҳиндистоннинг шимоли-шарқидаги Трипура штатидаги вақтинчалик давлат мадрасасининг бир синфида баъзи болалар диққатларини жамлай олмай қийналмоқдалар.,Hindistonning shimoli-sharqidagi Tripura shtatidagi vaqtinchalik davlat madrasasining bir sinfida ba'zi bolalar diqqatlarini jamlay olmay qiynalmoqdalar.,Hindistonning shimoli-sharqidagi Tripura shtatidagi vaqtinchalik davlat madrasasining bir sinfida ba'zi bolalar diqqatlarini jamlay olmay qiynalmoqdalar.,hindistonning shimoli-sharqidagi tripura shtatidagi vaqtinchalik davlat madrasasining bir sinfida ba'zi bolalar diqqatlarini jamlay olmay qiynalmoqdalar,hindistonning shimoli-sharqidagi tripura shtatidagi vaqtinchalik davlat madrasasining bir sinfida ba'zi bolalar diqqatlarini jamlay olmay qiynalmoqdalar,0.0,0.0,1.0,15,15,15
33,1013-28.wav,train,11.206625,Россиядаги меҳнат муҳожирлари ҳақ-ҳуқуқлари бузилган ҳолларда ҳам шикоят қилмасликларини айтишади.,Rossiyadagi mehnat muhojirlari haq-huquqlari buzilgan hollarda ham shikoyat qilmasliklarini aytishadi.,Rossiyadagi mehnat muhojirlari haq-huquqlari buzilgan hollarda ham shikoyat qilmasliklarini aytishadi.,rossiyadagi mehnat muhojirlari haq-huquqlari buzilgan hollarda ham shikoyat qilmasliklarini aytishadi,rossiyadagi mehnat muhojirlari haq-huquqlari buzilgan hollarda ham shikoyat qilmasliklarini aytishadi,0.0,0.0,1.0,10,10,10
34,1014-99.wav,train,13.2626875,"Россия кучларини ""барча жиноятлар жинояти"", деб аталган қилмишни содир этишда айблашга асос борми?","Rossiya kuchlarini ""barcha jinoyatlar jinoyati"", deb atalgan qilmishni sodir etishda ayblashga asos bormi?","Rossiya kuchlarini ""barcha jinoyatlar jinoyati"" deb atalgan qilmishni sodir etishda ayblashga asos bormi?",rossiya kuchlarini barcha jinoyatlar jinoyati deb atalgan qilmishni sodir etishda ayblashga asos bormi,rossiya kuchlarini barcha jinoyatlar jinoyati deb atalgan qilmishni sodir etishda ayblashga asos bormi,0.0,0.0,1.0,13,13,13
36,1034-20.wav,train,10.5683125,Хоразм вилояти ва Қорақалпоғистон якшанба куни кун давомида туз ва қум бўрони остида қолди.,Xorazm viloyati va Qoraqalpog'iston yakshanba kuni kun davomida tuz va qum bo'roni ostida qoldi.,Xorazm viloyati va Qoraqalpog'iston yakshanba kuni kun davomida tuz va qum bo'roni ostida qoldi.,xorazm viloyati va qoraqalpog'iston yakshanba kuni kun davomida tuz va qum bo'roni ostida qoldi,xorazm viloyati va qoraqalpog'iston yakshanba kuni kun davomida tuz va qum bo'roni ostida qoldi,0.0,0.0,1.0,14,14,14
38,1028-22.wav,train,11.95,Ислом Каримов номидаги Тошкент халқаро аэропортида Каримов Президент вақтида ёпиб қўйилган намозхона йўловчилар учун очилди.,Islom Karimov nomidagi Toshkent xalqaro aeroportida Karimov Prezident vaqtida yopib qo'yilgan namozxona yo'lovchilar uchun ochildi.,Islom Karimov nomidagi Toshkent xalqaro aeroportida Karimov prezident vaqtida yopib qo'yilgan namozxona yo'lovchilar uchun ochildi.,islom karimov nomidagi toshkent xalqaro aeroportida karimov prezident vaqtida yopib qo'yilgan namozxona yo'lovchilar uchun ochildi,islom karimov nomidagi toshkent xalqaro aeroportida karimov prezident vaqtida yopib qo'yilgan namozxona yo'lovchilar uchun ochildi,0.0,0.0,1.0,15,15,15
41,1006-99.wav,train,12.146625,"Хабарларга қараганда, ноқонуний меҳнат муҳожирлар ""ови"" Москва шаҳридан сўнг вилоятда бошланган.","Xabarlarga qaraganda, noqonuniy mehnat muhojirlar ""ovi"" Moskva shahridan so'ng viloyatda boshlangan.","Xabarlarga qaraganda, noqonuniy mehnat muhojirlar ovi Moskva shahridan so'ng viloyatda boshlangan.",xabarlarga qaraganda noqonuniy mehnat muhojirlar ovi moskva shahridan so'ng viloyatda boshlangan,xabarlarga qaraganda noqonuniy mehnat muhojirlar ovi moskva shahridan so'ng viloyatda boshlangan,0.0,0.0,1.0,11,11,11
42,1036-80.wav,train,13.4355,"Дамашқ чеккасида ҳукумат кучларининг ҳужуми натижасида юзлаб инсонлар ҳалок бўлган, деб хабар беради Сурия мухолифати.","Damashq chekkasida hukumat kuchlarining hujumi natijasida yuzlab insonlar halok bo'lgan, deb xabar beradi Suriya muxolifati.","Damashq chekkasida hukumat kuchlarining hujumi natijasida yuzlab insonlar halok bo'lgan, deb xabar beradi Suriya muxolifati.",damashq chekkasida hukumat kuchlarining hujumi natijasida yuzlab insonlar halok bo'lgan deb xabar beradi suriya muxolifati,damashq chekkasida hukumat kuchlarining hujumi natijasida yuzlab insonlar halok bo'lgan deb xabar beradi suriya muxolifati,0.0,0.0,1.0,15,15,15
44,1037-78.wav,train,8.0813125,Шавкат Мирзиёев Ўзбекистон Қуролли Кучларининг Олий Бош қўмондони ҳам бўлади.,Shavkat Mirziyoyev O'zbekiston Qurolli Kuchlarining Oliy Bosh qo'mondoni ham bo'ladi.,Shavkat Mirziyoyev O'zbekiston Qurolli Kuchlarining Oliy Bosh Qo'mondoni ham bo'ladi.,shavkat mirziyoyev o'zbekiston qurolli kuchlarining oliy bosh qo'mondoni ham bo'ladi,shavkat mirziyoyev o'zbekiston qurolli kuchlarining oliy bosh qo'mondoni ham bo'ladi,0.0,0.0,1.0,10,10,10
46,1031-02.wav,train,10.3198125,Ўзбекистонлик номдор ҳакам бу гал АҚШ ва Олмония ўртасидаги ўйинни бошқаради.,O'zbekistonlik nomdor hakam bu gal AQSH va Olmoniya o'rtasidagi o'yinni boshqaradi.,O'zbekistonlik nomdor hakam bu gal AQSH va Olmoniya o'rtasidagi o'yinni boshqaradi.,o'zbekistonlik nomdor hakam bu gal aqsh va olmoniya o'rtasidagi o'yinni boshqaradi,o'zbekistonlik nomdor hakam bu gal aqsh va olmoniya o'rtasidagi o'yinni boshqaradi,0.0,0.0,1.0,11,11,11
47,1004-59.wav,train,14.808,"Ҳисоботга кўра, ушбу кузатув амалиётлари Миллий Хавфсизлик Хизмати раиси Рустам Иноятовни мамлакатдаги энг қудратли шахслардан бирига айлантирган.","Hisobotga ko'ra, ushbu kuzatuv amaliyotlari Milliy Xavfsizlik Xizmati raisi Rustam Inoyatovni mamlakatdagi eng qudratli shaxslardan biriga aylantirgan.","Hisobotga ko'ra, ushbu kuzatuv amaliyotlari Milliy xavfsizlik xizmati raisi Rustam Inoyatovni mamlakatdagi eng qudratli shaxslardan biriga aylantirgan.",hisobotga ko'ra ushbu kuzatuv amaliyotlari milliy xavfsizlik xizmati raisi rustam inoyatovni mamlakatdagi eng qudratli shaxslardan biriga aylantirgan,hisobotga ko'ra ushbu kuzatuv amaliyotlari milliy xavfsizlik xizmati raisi rustam inoyatovni mamlakatdagi eng qudratli shaxslardan biriga aylantirgan,0.0,0.0,1.0,17,17,17
48,1018-107.wav,train,15.151375,"Хабарларга кўра, бундай мурожаат билан Москва шаҳар ҳокими Сергей Собянинга Россия мусулмонлар жамоаси вакиллари чиқишган.","Xabarlarga ko'ra, bunday murojaat bilan Moskva shahar hokimi Sergey Sobyaninga Rossiya musulmonlar jamoasi vakillari chiqishgan.","Xabarlarga ko'ra, bunday murojaat bilan Moskva shahar hokimi Sergey Sobyaninga Rossiya musulmonlar jamoasi vakillari chiqishgan.",xabarlarga ko'ra bunday murojaat bilan moskva shahar hokimi sergey sobyaninga rossiya musulmonlar jamoasi vakillari chiqishgan,xabarlarga ko'ra bunday murojaat bilan moskva shahar hokimi sergey sobyaninga rossiya musulmonlar jamoasi vakillari chiqishgan,0.0,0.0,1.0,15,15,15
49,1068-17.wav,train,15.8990625,Шоира Зулфия Бобоева 1954 йил 1 январда Тожикистоннинг Суғд вилояти Ғончи тумани Мужум қишлоғида туғилган.,Shoira Zulfiya Boboyeva 1954-yil 1-yanvarda Tojikistonning Sug'd viloyati G'onchi tumani Mujum qishlog'ida tug'ilgan.,Shoira Zulfiya Boboyeva 1954-yil 1-yanvarda Tojikistonning Sug'd viloyati G'onchi tumani Mujum qishlog'ida tug'ilgan.,shoira zulfiya boboyeva bir ming to'qqiz yuz ellik to'rtinchi yil birinchi yanvarda tojikistonning sug'd viloyati g'onchi tumani mujum qishlog'ida tug'ilgan,shoira zulfiya boboyeva bir ming to'qqiz yuz ellik to'rtinchi yil birinchi yanvarda tojikistonning sug'd viloyati g'onchi tumani mujum qishlog'ida tug'ilgan,0.0,0.0,1.0,20,20,15
50,1045-59.wav,train,5.8740625,Бунинг учун Президентдан рухсат сўраб ўтирмайди.,Buning uchun Prezidentdan ruxsat so'rab o'tirmaydi.,Buning uchun prezidentdan ruxsat so'rab o'tirmaydi.,buning uchun prezidentdan ruxsat so'rab o'tirmaydi,buning uchun prezidentdan ruxsat so'rab o'tirmaydi,0.0,0.0,1.0,6,6,6
51,1028-52.wav,train,16.37,"Хабаровскда ўзбекистонлик меҳнат муҳожирини ўлдирган милиция ходимлари ҳибсга олинган, зўравонликни четдан кузатиб турган яна бир неча ходим ишдан бўшатилган.","Xabarovskda o'zbekistonlik mehnat muhojirini o'ldirgan militsiya xodimlari hibsga olingan, zo'ravonlikni chetdan kuzatib turgan yana bir necha xodim ishdan bo'shatilgan.","Xabarovskda o'zbekistonlik mehnat muhojirini o'ldirgan militsiya xodimlari hibsga olingan, zo'ravonlikni chetdan kuzatib turgan yana bir necha xodim ishdan bo'shatilgan.",xabarovskda o'zbekistonlik mehnat muhojirini o'ldirgan militsiya xodimlari hibsga olingan zo'ravonlikni chetdan kuzatib turgan yana bir necha xodim ishdan bo'shatilgan,xabarovskda o'zbekistonlik mehnat muhojirini o'ldirgan militsiya xodimlari hibsga olingan zo'ravonlikni chetdan kuzatib turgan yana bir necha xodim ishdan bo'shatilgan,0.0,0.0,1.0,19,19,19
53,1010-29.wav,train,7.5965625,Америка Қўшма Штатлари аллақачон жиддий хавотирда.,Amerika Qo'shma Shtatlari allaqachon jiddiy xavotirda.,Amerika Qo'shma Shtatlari allaqachon jiddiy xavotirda.,amerika qo'shma shtatlari allaqachon jiddiy xavotirda,amerika qo'shma shtatlari allaqachon jiddiy xavotirda,0.0,0.0,1.0,6,6,6
54,1002-75.wav,train,7.2221875,Японлар таажжуб ва тушунмовчиликда.,Yaponlar taajjub va tushunmovchilikda.,Yaponlar taajjub va tushunmovchilikda.,yaponlar taajjub va tushunmovchilikda,yaponlar taajjub va tushunmovchilikda,0.0,0.0,1.0,4,4,4
55,1035-98.wav,train,20.04525,"Усмон Ҳақназаров номи билан ёзган журналист Бобомурод Абдуллаевга маълумот етказишда айбланаётганларнинг бири боғбон, иккинчиси Тошкентдаги обрўли ресторанларнинг бирида бош менежер бўлиб ишлаган.","Usmon Haqnazarov nomi bilan yozgan jurnalist Bobomurod Abdullayevga ma'lumot yetkazishda ayblanayotganlarning biri bog'bon, ikkinchisi Toshkentdagi obro'li restoranlarning birida bosh menejer bo'lib ishlagan.","Usmon Haqnazarov nomi bilan yozgan jurnalist Bobomurod Abdullayevga ma'lumot yetkazishda ayblanayotganlarning biri bog'bon, ikkinchisi Toshkentdagi obro'li restoranlarning birida bosh menejer bo'lib ishlagan.",usmon haqnazarov nomi bilan yozgan jurnalist bobomurod abdullayevga ma'lumot yetkazishda ayblanayotganlarning biri bog'bon ikkinchisi toshkentdagi obro'li restoranlarning birida bosh menejer bo'lib ishlagan,usmon haqnazarov nomi bilan yozgan jurnalist bobomurod abdullayevga ma'lumot yetkazishda ayblanayotganlarning biri bog'bon ikkinchisi toshkentdagi obro'li restoranlarning birida bosh menejer bo'lib ishlagan,0.0,0.0,1.0,22,22,22
57,1065-39.wav,train,15.3691875,"Конституциявий комиссия маълум қилишича, 30 июлга қадар турли алоқа каналлари орқали 117 мингдан ортиқ таклифлар келиб тушган.","Konstitutsiyaviy komissiya ma'lum qilishicha, 30-iyulga qadar turli aloqa kanallari orqali 117 mingdan ortiq takliflar kelib tushgan.","Konstitutsiyaviy komissiya ma'lum qilishicha, 30-iyulga qadar turli aloqa kanallari orqali 117 000 dan ortiq takliflar kelib tushgan.",konstitutsiyaviy komissiya ma'lum qilishicha o'ttizinchi iyulga qadar turli aloqa kanallari orqali bir yuz o'n yetti mingdan ortiq takliflar kelib tushgan,konstitutsiyaviy komissiya ma'lum qilishicha o'ttizinchi iyulga qadar turli aloqa kanallari orqali bir yuz o'n yetti mingdan ortiq takliflar kelib tushgan,0.0,0.0,1.0,20,20,17
58,1062-21.wav,train,16.892625,"Биз ёввойи табиатдан хасталиклар инсонларга юқиши ва дунё бўйлаб тезлик билан тарқалиши учун мукаммал бўрон"" яратдик"", дея огоҳлантирмоқда олимлар.","Biz yovvoyi tabiatdan xastaliklar insonlarga yuqishi va dunyo bo'ylab tezlik bilan tarqalishi uchun mukammal bo'ron"" yaratdik"", deya ogohlantirmoqda olimlar.","""Biz yovvoyi tabiatdan xastaliklar insonlarga yuqishi va dunyo bo'ylab tezlik bilan tarqalishi uchun mukammal bo'ron yaratdik"", deya ogohlantirmoqda olimlar.",biz yovvoyi tabiatdan xastaliklar insonlarga yuqishi va dunyo bo'ylab tezlik bilan tarqalishi uchun mukammal bo'ron yaratdik deya ogohlantirmoqda olimlar,biz yovvoyi tabiatdan xastaliklar insonlarga yuqishi va dunyo bo'ylab tezlik bilan tarqalishi uchun mukammal bo'ron yaratdik deya ogohlantirmoqda olimlar,0.0,0.0,1.0,19,19,19
