id,path,predicted_sentence,error_message,error_type
14,1014-29.wav,"Boshlovchilardan birining aytganidek, bu platforma ularga o'zlarini reklama qilish uchun ajoyib imkoniyat edi.",,
15,1044-20.wav,"Xabarlarga ko'ra, rasmiy Bishkek Turkiya milliy josuslik idorasi zobitlari tomonidan Qirg'iziston hududida amalga oshirilgan hibsga rasman o'z e'tirozini bildirgan.",,
16,1032-107.wav,"Ko'plab turli davlatlar islom qonunchiligi asosida boshqariladi, ammo shariat hukmi ostida yashash turli davlatlarda turlicha ko'rinish oladi.",,
17,1062-26.wav,Jurnalist Bobomurod Abdullayev ustidan kechgan mahkama jarayoni O'zbekistonda o'tgan 2018-yilning eng yirik siyosiy mahkamasi bo'lgan.,,
18,1015-98.wav,"O'zbekistondan kelayotgan xabarlarga ko'ra, respublikadagi nodavlat telekanallar tarmog'ida bo'lgan yana beshta telekanal efiri to'xtatilgan.",,
19,1011-86.wav,"Biroq, asosiy muammo iqtisodiyot bilan bog'liq emas. Mamlakatda qarindoshlari qaramog'ida qolgan butun boshli avlod voyaga yetmoqda.",,
20,1025-38.wav,"Save the Children xayriya tashkilotining aytishicha, o'ta xavfli Ebola kasalligining Sierra Leoneda tarqalish sur'atlari soatiga besh kishiga yetgan.",,
21,1016-86.wav,"Suriya Prezidenti Bashar al-Assad Rossiya televideniyes, orqali chiqish qilib, o'z mamlakatining kimyoviy qurollari xalqaro nazorat ostiga qo'yilishini bildirgan.",,
22,1067-93.wav,Ma'muriy ishlar bo'yicha Shayxontohur tuman sudi ro'moli sabab Xalqaro islom akademiyasidan haydalgan talaba Luiza Mo'minjonovaning da'vosini qondirmadi.,,
23,1024-104.wav,Rossiya qo'shinlari Ukrainaga qarshi urushga tayyorgarlik ko'ryaptimi? G'arb va Rossiya muzokara qilib ko'rdi.,,
24,1040-37.wav,Kolin Pauell O'zbekistonga shaxsan tashrif buyurgan uchinchi AQSH davlat kotibi bo'ladi.,,
25,1013-79.wav,"Qaror e'lon qilingandan so'ng, asosiy aholisi islom diniga e'tiqod qiluvchi mamlakatda hijobning yanada ta'qibga uchrashi borasidagi xavotir kuchaydi.",,
26,1029-16.wav,Rossiya G'arb dagi kabi maktablarni hech qachon muhojir oilalar farzandlari bilan to'lib ketishiga yo'l qo'ymasligi kerak. O'tgan hafta Prezident Vladimir Putin ana shu gapni aytdi.,,
27,1006-97.wav,Mana bu yerdan javob topishingiz mumkinligini eslatamiz.,,
28,1028-73.wav,Tunisning qoloq hududida yashovchi reper Hamzaviy uch yil avvalgi inqilob erkin gapirishdan boshqa hech qanday yutuq olib kelmaganiga ishonadi.,,
29,1068-71.wav,Toshpo'lat Rahmatullayev elektr energiyasi muntazam o'chishi sabab ushbu muammoni yozishga uch sutka vaqti ketganini aytdi.,,
30,1023-110.wav,Hindistonning shimoli-sharqidagi Tripura shtatidagi vaqtinchalik davlat madrasasining bir sinfida ba'zi bolalar diqqatlarini jamlay olmay qiynalmoqdalar.,,
31,1013-28.wav,Rossiyadagi mehnat muhojirlari haq-huquqlari buzilgan hollarda ham shikoyat qilmasliklarini aytishadi.,,
32,1054-32.wav,Islom Karimov vafotidan keyin o'tgan qisqa davr mobaynida O'zbekiston va Tojikiston o'rtasidagi munosabatlarning iliqlashayotgani oddiy tojikistonliklar tomonidan xush qarshilanmoqda.,,
33,1034-20.wav,Xorazm viloyati va Qoraqalpog'iston yakshanba kuni kun davomida tuz va qum bo'roni ostida qoldi.,,
34,1014-99.wav,"Rossiya kuchlarini ""barcha jinoyatlar jinoyati"" deb atalgan qilmishni sodir etishda ayblashga asos bormi?",,
35,1006-81.wav,"""Saylov oldi jarayoni erkin, shaffof va demokratik tarzda o'tadi"", dedi kutilayotgan prezidentlik saylovi haqida gapirgan Imomali Rahmon.",,
36,1025-03.wav,"O'zbekiston madaniy merosini saqlash, o'rganish va targ'ib qilish bo'yicha Butun jahon jamiyatining raisi Firdaus Abduxoliqovning aytishicha, Samarqanddagi anjuman Prezident Shavkat Mirziyoyev avvalroq ilgari surgan ma'rifatli islom g'oyasining bir qismidir.",,
37,1045-57.wav,Prezident Mirziyoyev O'zbekistonning xorijdagi elchilari bilan uchrashuvda ularga viloyat hokimlarini biriktirib qo'yganini ma'lum qildi.,,
38,1029-96.wav,"Surxondaryoga borgan Mirziyoyev Oqtubeda o'zbekistonliklar vafot etganidan chuqur qayg'uda ekanini aytib, ularning yaqinlariga ta'ziya bildirdi. Marhumlar haqqiga duo qilindi.",,
39,1037-78.wav,Shavkat Mirziyoyev O'zbekiston Qurolli Kuchlarining Oliy Bosh Qo'mondoni ham bo'ladi.,,
40,1036-80.wav,"Damashq chekkasida hukumat kuchlarining hujumi natijasida yuzlab insonlar halok bo'lgan, deb xabar beradi Suriya muxolifati.",,
41,1028-22.wav,Islom Karimov nomidagi Toshkent xalqaro aeroportida Karimov prezident vaqtida yopib qo'yilgan namozxona yo'lovchilar uchun ochildi.,,
42,1065-53.wav,O'tgan yil yozida Misrning erkin saylovda saylangan prezidenti Muhammad Mursiyni qudratdan ag'dargan harbiylar rahbari feld marshal Abdul-Fattoh As-Sisi prezidentlik sayloviga nomzodini ilgari surish maqsadida o'zining harbiy lavozimidan iste'fo berganini e'lon qilgan.,,
43,1006-99.wav,"Xabarlarga qaraganda, noqonuniy mehnat muhojirlar ovi Moskva shahridan so'ng viloyatda boshlangan.",,
44,1029-98.wav,Moskvaga tashrif buyurgan Prezident Shavkat Mirziyoyev Kremlga Prezident Vladimir Putin bilan muzokaralar olib borgan.,,
45,1018-107.wav,"Xabarlarga ko'ra, bunday murojaat bilan Moskva shahar hokimi Sergey Sobyaninga Rossiya musulmonlar jamoasi vakillari chiqishgan.",,
46,1045-59.wav,Buning uchun prezidentdan ruxsat so'rab o'tirmaydi.,,
47,1031-02.wav,O'zbekistonlik nomdor hakam bu gal AQSH va Olmoniya o'rtasidagi o'yinni boshqaradi.,,
48,1002-75.wav,Yaponlar taajjub va tushunmovchilikda.,,
49,1068-17.wav,Shoira Zulfiya Boboyeva 1954-yil 1-yanvarda Tojikistonning Sug'd viloyati G'onchi tumani Mujum qishlog'ida tug'ilgan.,,
50,1045-67.wav,Quyida BBC maqolaning qisqacha mazmuni bilan tanishtiradi.,,
51,1010-29.wav,Amerika Qo'shma Shtatlari allaqachon jiddiy xavotirda.,,
52,1002-111.wav,"""Chegara bilmas muxbirlar"" tashkiloti matbuot erkinligi bo'yicha chiqargan 2019-yilgi bayonotida O'zbekistonni 180 ta davlat ichidan 160-o'rinda joyladi.",,
53,1004-59.wav,"Hisobotga ko'ra, ushbu kuzatuv amaliyotlari Milliy xavfsizlik xizmati raisi Rustam Inoyatovni mamlakatdagi eng qudratli shaxslardan biriga aylantirgan.",,
54,1028-52.wav,"Xabarovskda o'zbekistonlik mehnat muhojirini o'ldirgan militsiya xodimlari hibsga olingan, zo'ravonlikni chetdan kuzatib turgan yana bir necha xodim ishdan bo'shatilgan.",,
55,1063-03.wav,Britaniya Sog'liqni saqlash milliy xizmatida hamshira bo'lib ishlaydigan Ev Gibni 17 yildan beri birga umr guzar etib kelgan turmush o'rtog'i o'zgarib qolganini seza boshladi.,,
56,1035-98.wav,"Usmon Haqnazarov nomi bilan yozgan jurnalist Bobomurod Abdullayevga ma'lumot yetkazishda ayblanayotganlarning biri bog'bon, ikkinchisi Toshkentdagi obro'li restoranlarning birida bosh menejer bo'lib ishlagan.",,
57,1062-21.wav,"""Biz yovvoyi tabiatdan xastaliklar insonlarga yuqishi va dunyo bo'ylab tezlik bilan tarqalishi uchun mukammal bo'ron yaratdik"", deya ogohlantirmoqda olimlar.",,
58,1065-39.wav,"Konstitutsiyaviy komissiya ma'lum qilishicha, 30-iyulga qadar turli aloqa kanallari orqali 117 000 dan ortiq takliflar kelib tushgan.",,
59,1003-16.wav,Natijada 140 soatdan ko'p dars qoldirgan degan sabab bilan o'qishdan haydalgan.,,
60,1049-07.wav,O'zbekiston Respublikasi Prezidentining sobiq matbuot kotibi Komil Allamjonov O'zbekiston matbuot va axborot agentligi bosh direktori vazifasini bajaruvchi etib tayinlandi.,,
61,1053-17.wav,Aktobedada 52 nafar o'zbekistonlikning o'limiga olib kelgan fojiaga javob chorasi sifatida Farg'ona viloyat hokimi Shuhrat G'aniyev Toshloq tuman aholisining Rossiyaga borishini taqiqlagan.,,
62,1044-36.wav,Aynan migrantlar inqirozi bois Yevropadan keyin AQSH ham Belarusni jazoladi. Lukashenkoning to'ng'ich o'g'li ham ro'yxatga tushdi.,,
63,1016-40.wav,Bunaqasi har ikki qo'shni davlat mustaqilligi tarixida kuzatilmagan.,,
64,1059-88.wav,"Agar sizning biror bir savolingiz bo'lsa yoki bbcuzbek.com veb sayti yoxud BBC o'zbek xizmatining eshittirishlari haqida o'z fikr mulohazangizni bildirish istagida bo'lsangiz, quyidagi formadan foydalanib, maktub yo'llang.",,
65,1032-106.wav,Xitoyning juda faol tarzda daraxtlarni ko'paytirishi uning iqlimga o'tkazayotgan salbiy ta'sirini yumshatishda juda muhim rol o'ynayotgan bo'lishi ehtimoli katta.,,
66,1032-108.wav,Besh nafar ayol BBCga bunday hayot ular uchun qanday kechayotganini so'zlab berdi.,,
67,1036-47.wav,"Yaffadagi to'lqinli dengizga qarab solingan yangi Uri Geller muzeyiga kiraverishda dunyodagi eng katta, uzunligi 16,18 metrlik po'lat qoshiq o'rnatilgan.",,
68,1035-30.wav,Shavkat Mirziyoyev 15 yildan buyon migrantlar masalasi o'zini qiynab kelganini aytdi.,,
69,1039-101.wav,O'zbekiston Oliy Majlis Qonunchilik palatasi deputati Doniyor G'aniyev mamlakat yuzlashayotgan energetika inqirozi fonida mas'ul rahbarlarning iste'fo berishi eng to'g'ri yo'l ekanini ta'kidlamoqda. BBC O'zbek.com dayjesti.,,
70,1024-07.wav,Samara viloyatining Mashtakova chegara punkti yaqinida 280 nafar o'zbekistonlik muhojirlar bir necha kundirki ochiq dalada yashashmoqda.,,
71,1059-85.wav,Britaniyaning eng badavlat kishisi va Arsenal klubining yetakchi hissadori Alisher Usmonov futbol klublarining xorijliklar tomonidan sotib olinishi ingliz futboli uchun foydali ekanini aytgan.,,
72,1053-19.wav,Endilikda kelasi 18 oy Yerni iqlim o'zgarishi asoratlaridan asrash yo'lida o'ta muhim bo'lishi aytilmoqda.,,
73,1050-10.wav,AQSH prezidentligiga respublikachi partiyadan nomzod Donald Tramp Ayovada hukumatning muhojirlik ustidan nazoratini kuchaytirishga yordam beradigan tizim ishlab chiqishga va'da bergan.,,
74,1027-104.wav,Bu oila a'zolarining katta qismi omon qoldi va bir guruh davlatlargina hamon Suriyada qolayotgan 70 000 IShID tarafdorini nima qilish mumkinligi yo'lini topa oldi xolos.,,
75,1044-07.wav,"Yevropa Komissiyasi Ukraina nomzodligini dastaklar ekan, payshanba kuni kechadigan sammitda ham Kiyev uchun ittifoq tomon yashil chiroq yonishi kutilmoqda.",,
76,1045-62.wav,"Olimjon otasining janozasiga jo'nab ketgach, ertasi kechgacha xavotir yurdim.",,
77,1058-17.wav,"Qirg'izistonning yangi saylangan prezidenti Sadr Japarov O'zbekiston prezidenti Shavkat Mirziyoyev Islom Karimovdan qolgan diktaturani yo'q qilib, mamlakat eshigini dunyoga ochganini aytdi.",,
78,1055-102.wav,Shu kunlarda O'zbekistonda havo yana keskin sovishi kutilmoqda.,,
79,1030-87.wav,"Misrdagi islom olamidagi nufuzli Dorul Ifto fatvo hay'ati o'zlarini ""Islomiy davlat"" deb atagan Iroq va Suriyadagi islomiy jangarilarni bu nom bilan atamaslik chaqirig'i bilan chiqqan.",,
80,1025-28.wav,"Bu ikki ayol ikki alohida qit'adadirlar, ammo bu hafta ular jahon matbuoti varaqlaridan yonma-yon joy olishmoqda.",,
81,1046-61.wav,Halokatli cho'chqa tumovi so'nggi oylari sobiq Sovet davlatlarida o'nlab insonlar umriga zomin bo'lmoqda.,,
82,1041-79.wav,Huquq va tartibot organlaridagi manba BBCga 10 yilga qamalgan sobiq bosh prokuror Rashidjon Qodirov ozodlikka chiqqanini tasdiqladi.,,
83,1034-15.wav,Hind matbuoti esa minglab markaziy osiyolik ayollar mamlakatda ixtiyoriy yoki majburiy tarzda o'z badanini sotayotgani haqida yozadi.,,
84,1068-100.wav,20-iyul kuni O'zbekistonda 562 holatda kasallik qayd etilgan.,,
85,1050-85.wav,5-iyunda jahon bo'ylab ekologiya kuni nishonlanmoqda.,,
86,1053-59.wav,Qirolicha Yelizavetaning umr yo'ldoshi shahzoda Filipp vafot etdi.,,
87,1021-39.wav,O'zining jinsiy zo'rlanganini da'vo qilgan qizga ishonishmadi. Qiz tushida zo'rlanganmidi yoki o'ngida?,,
88,1054-81.wav,SHHT G'arbga qarshi tuzilgan tashkilot emas. Sammit kun tartibida global geosiyosiy inqiroz masalalari yo'q. O'zbekistonning SHHT bo'yicha milliy koordinatori Rahmatulla Nurimbetov.,,
89,1055-24.wav,Barter yoki tovarga tovar ayirboshlash savdo aloqalari olib borishning eng qadim usullaridan biri hisoblanadi.,,
90,1035-63.wav,BBC Ijtimoiy minbarining ushbu haftadagi muhokama mavzusi O'zbekistonda qonun ham qabul qilinmagan militsiya haqida edi.,,
91,1052-71.wav,Bollywood yulduzi Shohrux Xon o'zini Amerika hukumati tomonidan Los-Anjeles xalqaro aeroportida ushlab turilganidan noroziligini bildirgan.,,
92,1011-03.wav,Glazgoda global iqlim o'zgarishiga bag'ishlangan yillik yirik anjuman boshlanmoqda. Unda dunyoning 200 ga yaqin davlati vakillari ishtirok etishadi.,,
93,1057-37.wav,Ruslar Buchadan chekinganda o'liklarni qidirish va hujjatlashtirish bo'yicha keng ko'lamli operatsiya boshlandi.,,
94,1033-23.wav,Biz O'zbekistondagi islohotlar va ularning Markaziy Osiyoga ijobiy ta'sirini olqishladik. AQSH va O'zbekiston orasidagi aloqalarni kuchaytirish niyatidamiz.,,
95,1036-82.wav,G'arb josuslik xizmatlari xavotirda. Buning uchun yetarlicha asoslari bor.,,
96,1062-08.wav,Xorijiy ommaviy axborot vositalarida O'zbekistondagi prezidentlik saylovi haqidagi xabarlarga ana shunday sarlavhalar qo'yilgan.,,
97,1058-100.wav,Demografiyasi migrantlar hisobiga barqarorlashib turgan Rossiya ayni paytda o'z tug'ruqxonalariga muhojir ayollar ko'p tashrif buyurayotganidan tashvishda.,,
98,1018-92.wav,"Saudiya Arabistoni, Turkiya yana yopilmoqda, ammo rasmiy Anqara O'zbekistonga o'z eshiklarini ochmoqda.",,
99,1065-85.wav,"Noqonuniy namoyishlarda qatnashganligi uchun 122 nafar chet el fuqarosiga Rossiyaga kirish taqiiqlandi. sira taksiga chiqmasdim, bir kuni shoshilinch mashina to'xtatishga to'g'ri keldi.",,
100,1060-43.wav,"Rossiya qo'shinlari Ukraina hududiga kirdi, yirik shaharlardagi harbiy qismlar bombardimonga tutildi.",,
101,1058-76.wav,Prezident Shavkat Mirziyoyev O'zbekiston Respublikasining fuqaroligi to'g'risidagi navbatdagi farmonni imzolagan.,,
102,1067-74.wav,Hindistonda musulmonlarga qarshi nafrat ifodalovchi qo'shiqlar ko'paymoqda.,,
103,1065-97.wav,Jizzax tumanida paxta yig'im-terimidan qaytayotgan maktab o'quvchilari o'tirgan RAF mikroavtobusi boshqa avtomobil bilan to'qnashishi oqibatida 34 yoshli maktab o'qituvchisi Marhabo Sodiqova vafot etgan.,,
104,1060-83.wav,"Va maqolaning umumiy ohangidan anglashilishicha, ushbu tanlov Vashington foydasiga bo'lmaydi. Rossiya matbuoti O'zbekistonning vaqtincha prezidenti Shavkat Mirziyoyevni Rossiyaning odami deb hisoblaydi.",,
105,1060-62.wav,Bolqon mamlakatlari muhojirlar uchun o'z chegaralarini yopishlari ehtimoli haqida aytishgan.,,
106,1015-33.wav,"Germaniyaning ""Bild"" nashriga buning shartlarini ochiqladi.",,
107,1048-40.wav,"""Boshqa iloji yo'q"", dedi qo'qonlik muhojir Farhod Umirzoqov.",,
108,1029-95.wav,"Jahon sog'liqni saqlash tashkiloti tan olishicha, COVID-19 virusi inson nafas olayotgan havo tomchilaridan ham yuqishi mumkin. Bunday tomchining aerozoli havoda uzoq qolishi mumkin.",,
109,1022-06.wav,"Gazeta.uz nashrining Ombudman ofisi xabariga asoslanib, iyul boshida Qoraqalpog'istonda hibsga olinganlar qiynoqqa solingan bo'lishi mumkinligi to'g'risidagi maqolasiga raddiya berilgan.",,
110,1011-83.wav,"Moskvaning shimoli-g'arbidagi yotoqxonada kelib chiqqan ommaviy tartibsizlikdan keyin 60 ga yaqin kishi politsiyaga olib ketilgan, deb xabar beradi Rossiya Ichki ishlar vazirligi matbuot xizmati.",,
111,1031-74.wav,Uning hisoboti yakshanba kuni kongressga topshirilgan.,,
112,1006-102.wav,Rossiyaning Su-30 SM qiruvchi uchoqlaridan 16 donasiga Qozog'iston xaridor bo'lmoqda.,,
113,1006-51.wav,Jurnalist Armin Wolf boshqa hamkasblaridan farqli o'laroq Putinni dangal va noqulay ahvolga soluvchi savollarga ko'mib tashladi.,,
114,1005-89.wav,Gruziyaning mustaqillikka erishganiga 31 yil to'lgan. Sovet Ittifoqidan birinchilardan bo'lib ajralib chiqqan Gurjiston xalqi bugun qanday yashamoqda?,,
115,1043-46.wav,"Va O'zbekiston Islomiy Harakatiga nisbat berilayotgan xorijiy jangarilar boshchiligi ostida toliblar ixtiyoriga o'tgan Yumgonda to'rtinchi kundirki, qaqshatqich janglar davom etmoqda.",,
116,1050-105.wav,Uning Istanbuldagi 39 kishining o'limiga sabab bo'lgan tungi klub hujumi tashkilotchisi va O'zbekiston fuqarosi ekanligiga ishoniladi.,,
117,1013-33.wav,"Qo'shiq qanday yaraladi? Uning xalq og'ziga tushishi, millionlab muxlislar xotirasida muhrlanib qolishi uchun nima kerak?",,
118,1032-113.wav,Aynan vodiyning qoq markazida noyob qum barxanlari mavjud.,,
119,1063-100.wav,"Turkiya Prezidenti, agar AQSH Quddusni Isroil poytaxti deb tan oladigan bo'lsa, unda uning mamlakati Isroil bilan aloqalarni uzishi haqida ogohlantirgan.",,
120,1055-02.wav,O'zbekiston Vazirlar Mahkamasi soliq undirish maqsadlarida jismoniy shaxslarga tegishli ko'chmas mulk ob'yektlari narxini aniqlash tartibi bo'yicha yangi qonun loyihasini muhokamaga qo'ydi.,,
121,1039-34.wav,"Tadbir O'zbekiston madaniy merosini o'rganish, asrash va ommalashtirish bo'yicha Butun jahon jamiyati tomonidan xalqaro va milliy tashkilotlar ko'magida tashkil etildi.",,
122,1037-40.wav,O'zbekistonda ham koronavirus bilan bog'liq vaziyatning yomonlashib borayotgani kuzatiladi.,,
123,1020-74.wav,"Tog'lar va tepaliklar bilan o'ralgan Panjsherni uning himoyachilari va Tolibonga qarshilikni davom ettirayotganlar ""ozodlikning so'nggi makoni"" deb ta'riflashadi.",,
124,1036-96.wav,Nima uchun Amerikadan Avstraliyagacha va Vengriyadan Gondurasgacha bo'lgan mamlakatlarda o'ng partiyaning ashaddiy tarafdorlari Jorj Sorosni butun dunyo fitnasining markaziy figuranti ekaniga ishonchlari komil?,,
125,1007-58.wav,O'zbekneftgaz milliy holding kompaniyasi Toshkent shahar jamoat transportida dizel yonilg'isi yetishmayotgani haqidagi xabarlarni rad etgan.,,
126,1054-71.wav,Islom va Shom Davlati harakati rahbari Abubakr al-Bag'dodiy Mosul shahridan turib video murojaat e'lon qilgan.,,
127,1047-84.wav,Prezident Mirziyoyevning Moliya vazirligidagi kalamushlarni ishdan olish talabidan so'ng bir kunning ichida 50 kishi ishdan bo'shatildi.,,
128,1048-97.wav,Saudiya Arabistonida ommaviy ko'ngilochar tadbirlar ko'paygan. Podshohlikda dunyoning manaman degan yulduzlari konsert bera boshlagan.,,
129,1022-50.wav,Rossiya-Qozog'iston chegarasida yana o'z vatanlariga qaytish uchun yo'lga chiqqan markaziy osiyolik migrantlar to'planmoqda.,,
130,1022-11.wav,O'zbekiston Prezidenti Qozondagi maktabda sodir bo'lgan fojia yuzasidan Rossiya rahbariga rasman hamdardlik bildirdi.,,
131,1042-18.wav,Ayni bir paytda har ikki mamlakatga o'tayotgan kishilar uchun PZR testi talab qilish bekor qilindi.,,
132,1025-48.wav,So'nggi hafta mobaynida Rossiya matbuoti O'zbekistonliklarga aloqador qanday mavzularni yoritdi?,,
133,1024-28.wav,O'zbekiston Bosh prokuraturasi Qoraqalpog'istondagi qonli hodisalar yuzasidan qo'zg'atilgan jinoyat ishi tafsilotini ochiqladi.,,
134,1034-08.wav,"Ukraina sharqi va janubida yana bir necha qishloq va aholi maskanlari Ukraina qurolli kuchlarining nazoratiga o'tar ekan, Rossiya rahbariyati o'z qo'shinlari chekingan hududlarni qaytarib olamiz deydi.",,
135,1025-62.wav,Endi esa u o'g'ilchasini Istanbuldagi bolalar uyidan qaytarib ololmay sarson.,,
136,1040-83.wav,Respublika maxsus komissiyasi qarori bilan 10-iyundan 1-avgustga qadar mamlakat hududi bo'ylab kuchaytirilgan karantin tartibi o'rnatilmoqda.,,
137,1066-39.wav,"Rim popasi Fransisk 100 yil avval armanlarning usmonliylar tomonidan yappasiga o'ldirilishini ""genotsid"" deb atadi.",,
138,1037-08.wav,O'zbekiston xalq yozuvchisi Tohir Malik 73 yoshda edi.,,
139,1027-57.wav,Rossiya: Muslimalar nega himoyaga muhtoj? Shu kunlarda poytaxt Moskvadagi musulmonlarga psixologik yordam ko'rsatish assotsiatsiyasi o'zbekistonlik mehnat muhojirlaridan bo'layotgan murojaatlarga e'tibor qaratdi.,,
140,1018-46.wav,Shimoliy Suriyadagi harbiy amaliyotlari uchun Turkiyaning bir necha hukumat va harbiy mulozimlari AQSH jazo choralariga duchor bo'ldi.,,
141,1045-79.wav,"Ahmedova xonim shu kunlarda Voronejda bo'lib o'tadigan tadbirda ishtirok etishi mo'ljallangandi, biroq Rossiyaga uchish uchun Toshkent aeroportiga kelganida unga avia shirkat vakillari Rossiya FSB'si, ya'ni Federal xavfsizlik xizmati tomonidan mamlakatga kirishi taqiqlangani haqidagi qog'ozni berganlar.",,
142,1028-64.wav,Oldinroq sog'liqni saqlash vaziri epidemiyaning oldini olish uchun qatnovlarni to'xtatish kerakligini aytgandi.,,
143,1050-02.wav,O'zbekiston havo yo'llarining 603-reysi bo'yicha Toshkent-Moskva yo'nalishidan 45 nafar yo'lovchi uchoqqa sig'magani uchun qolib ketgan. Bu haqda ushbu reys yo'lovchisi Facebook ijtimoiy tarmog'ida ma'lum qildi.,,
144,1031-48.wav,Keniya poytaxti Nayrobi shahridagi Westgate savdo markaziga hujumdan keyin jahonda tobora ko'p odam Ash-Shabob islomiy jangarilar guruhi haqida xabardor bo'ldi.,,
145,1029-78.wav,Gumonlanuvchi ushlangan va qotillik sodir etganligini tan olgan.,,
146,1068-38.wav,"O'zbekiston ichki ishlar vazirligi ogohlantirdi va o'zbekistonliklar bu yil umraga boradimi? Prezident Mirziyoyevning aytishicha, tadbirkorni okeanga tashlab qo'yish kerak emas. Digest.",,
147,1049-108.wav,Rossiya prezidenti Vladimir Putin musulmonlarni Ramazon hayiti bilan tabrikladi. Ushbu bayram qutlovi Kreml rasmiy saytida e'lon qilindi.,,
148,1067-23.wav,"Tolibon Afg'oniston poytaxtini egallaganiga bugun besh kun bo'ldi. Kobulda bo'lgan muxbirimizning aytishicha, hozir shahar tish-tirnog'igacha qurollangan toliblarga to'lib ketgan.",,
149,1006-77.wav,Ammo ukrainaliklar bularning barchasi haqida qanday fikrda?,,
150,1060-81.wav,O'z Metronom nashri AQSHdagi prezident saylovlari arafasida chop etgan maqolada muallif Qo'shma Shtatlarni strategik tinchlikka putur yetkazishda ayblaydi.,,
151,1010-08.wav,"BBC o'quvchilarining xabar qilishicha, daraxt kesish kompaniyasi endi viloyatlarga ko'chgan.",,
152,1031-92.wav,Rossiyaning Saratov viloyatida 5 nafar o'zbekistonlik mehnat muhojiri qullikka tushib qolganliklarini iddao qilmoqdalar.,,
153,1066-95.wav,Xitoyning chekka g'arbiy mintaqasi Shinjonda mahalliy hukumat tomonidan etnik uyg'ur bo'lgan musulmonlarning Ramazon oyida ro'za tutishlari taqiqlangan.,,
154,1024-19.wav,"Mintaqaviy siyosiy tahlilchilarga ko'ra, yo'q.",,
155,1023-89.wav,Rossiyada fatvo: musulmon faqat muslimaga uylansin. Rossiya musulmonlari diniy boshqarmasi ulamolar kengashi o'z fatvosini berdi.,,
156,1001-73.wav,"Bosh vaziri Abdulla Aripov elektron shpargalka bilan qo'lga tushgan abituriyentga kulib, Toshkent Axborot Texnologiyalari Universitetiga topshirishni maslahat bergan. Aripov 1-avgust kuni oliygohlarga kirish imtihonlarini o'zi borib kuzatgani xabar berilmoqda.",,
157,1010-93.wav,"Misrning harbiylar tomonidan dastaklanayotgan muvaqqat hukumati ""Musulmon birodarlar"" ni terrorchi guruh deb e'lon qilgan.",,
158,1058-94.wav,Toshkentdan Moskvaga yana bir muntazam reys tiklandi. U barcha o'zbekistonliklar uchun ochiq.,,
