id,original_path,augmented_path,original_duration,augmented_duration,speed_applied,speed_rate_applied,pitch_applied,noise_applied,time_mask_applied,augmentation_type
15,00000114.wav,00000114_augmented_spd_pch_msk.wav,4.9014,5.1482,True,0.952,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
16,00000130.wav,00000130_augmented_spd_nse.wav,12.432,13.1577,True,0.9448,False,False,False,AugmentationType.SPEED|NOISE
17,00000130.wav,00000130_augmented_pch_msk.wav,12.432,12.432,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
18,00000130.wav,00000130_augmented_spd_pch_nse.wav,12.432,12.4653,True,0.9973,True,False,False,AugmentationType.SPEED|PITCH|NOISE
19,00000130.wav,00000130_augmented_spd_pch_msk.wav,12.432,11.7393,True,1.059,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
20,00000171.wav,00000171_augmented_spd_nse.wav,9.5627,9.1469,True,1.0455,False,True,False,AugmentationType.SPEED|NOISE
21,00000171.wav,00000171_augmented_pch_msk.wav,9.5627,9.5627,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
22,00000171.wav,00000171_augmented_spd_pch_nse.wav,9.5627,9.0147,True,1.0608,True,True,False,AugmentationType.SPEED|PITCH|NOISE
23,00000171.wav,00000171_augmented_spd_pch_msk.wav,9.5627,10.4472,True,0.9153,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
24,00000173.wav,00000173_augmented_spd_nse.wav,6.2987,5.7761,True,1.0905,False,False,False,AugmentationType.SPEED|NOISE
25,00000173.wav,00000173_augmented_pch_msk.wav,6.2987,6.2987,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
26,00000173.wav,00000173_augmented_spd_pch_nse.wav,6.2987,6.3036,True,0.9992,True,True,False,AugmentationType.SPEED|PITCH|NOISE
27,00000173.wav,00000173_augmented_spd_pch_msk.wav,6.2987,6.0249,True,1.0454,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
28,00000178.wav,00000178_augmented_spd_nse.wav,11.3227,11.0497,True,1.0247,False,True,False,AugmentationType.SPEED|NOISE
29,00000178.wav,00000178_augmented_pch_msk.wav,11.3227,11.3227,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
30,00000178.wav,00000178_augmented_spd_pch_nse.wav,11.3227,11.3902,True,0.9941,True,True,False,AugmentationType.SPEED|PITCH|NOISE
31,00000178.wav,00000178_augmented_spd_pch_msk.wav,11.3227,10.7888,True,1.0495,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
32,00000223.wav,00000223_augmented_spd_nse.wav,19.0774,20.4592,True,0.9325,False,True,False,AugmentationType.SPEED|NOISE
33,00000223.wav,00000223_augmented_pch_msk.wav,19.0774,19.0774,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
34,00000223.wav,00000223_augmented_spd_pch_nse.wav,19.0774,18.8451,True,1.0123,True,True,False,AugmentationType.SPEED|PITCH|NOISE
35,00000223.wav,00000223_augmented_spd_pch_msk.wav,19.0774,20.8152,True,0.9165,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
36,00000329.wav,00000329_augmented_spd_nse.wav,17.6587,17.1531,True,1.0295,False,False,False,AugmentationType.SPEED|NOISE
37,00000329.wav,00000329_augmented_pch_msk.wav,17.6587,17.6587,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
38,00000329.wav,00000329_augmented_spd_pch_nse.wav,17.6587,17.1391,True,1.0303,True,True,False,AugmentationType.SPEED|PITCH|NOISE
39,00000329.wav,00000329_augmented_spd_pch_msk.wav,17.6587,16.9062,True,1.0445,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
40,00000338.wav,00000338_augmented_spd_nse.wav,13.2853,12.5297,True,1.0603,False,False,False,AugmentationType.SPEED|NOISE
41,00000338.wav,00000338_augmented_pch_msk.wav,13.2853,13.2853,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
42,00000338.wav,00000338_augmented_spd_pch_nse.wav,13.2853,12.2571,True,1.0839,True,True,False,AugmentationType.SPEED|PITCH|NOISE
43,00000338.wav,00000338_augmented_spd_pch_msk.wav,13.2853,13.5591,True,0.9798,True,False,False,AugmentationType.SPEED|PITCH|TIME_MASK
44,00000469.wav,00000469_augmented_spd_nse.wav,11.312,11.6903,True,0.9676,False,True,False,AugmentationType.SPEED|NOISE
45,00000469.wav,00000469_augmented_pch_msk.wav,11.312,11.312,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
46,00000469.wav,00000469_augmented_spd_pch_nse.wav,11.312,11.5693,True,0.9778,True,True,False,AugmentationType.SPEED|PITCH|NOISE
47,00000469.wav,00000469_augmented_spd_pch_msk.wav,11.312,11.7412,True,0.9634,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
48,00000483.wav,00000483_augmented_spd_nse.wav,5.8082,6.4371,True,0.9023,False,True,False,AugmentationType.SPEED|NOISE
49,00000483.wav,00000483_augmented_pch_msk.wav,5.8082,5.8082,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
50,00000483.wav,00000483_augmented_spd_pch_nse.wav,5.8082,5.4099,True,1.0736,True,True,False,AugmentationType.SPEED|PITCH|NOISE
51,00000483.wav,00000483_augmented_spd_pch_msk.wav,5.8082,5.9356,True,0.9785,True,False,False,AugmentationType.SPEED|PITCH|TIME_MASK
52,00000504.wav,00000504_augmented_spd_nse.wav,18.6614,20.2286,True,0.9225,False,True,False,AugmentationType.SPEED|NOISE
53,00000504.wav,00000504_augmented_pch_msk.wav,18.6614,18.6614,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
54,00000504.wav,00000504_augmented_spd_pch_nse.wav,18.6614,20.1516,True,0.9261,True,False,False,AugmentationType.SPEED|PITCH|NOISE
55,00000504.wav,00000504_augmented_spd_pch_msk.wav,18.6614,18.5134,True,1.008,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
56,00000514.wav,00000514_augmented_spd_nse.wav,13.84,15.3138,True,0.9038,False,True,False,AugmentationType.SPEED|NOISE
57,00000514.wav,00000514_augmented_pch_msk.wav,13.84,13.84,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
58,00000514.wav,00000514_augmented_spd_pch_nse.wav,13.84,14.9188,True,0.9277,True,True,False,AugmentationType.SPEED|PITCH|NOISE
59,00000514.wav,00000514_augmented_spd_pch_msk.wav,13.84,13.6964,True,1.0105,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
60,00000594.wav,00000594_augmented_spd_nse.wav,6.98,6.4874,True,1.0759,False,True,False,AugmentationType.SPEED|NOISE
61,00000594.wav,00000594_augmented_pch_msk.wav,6.98,6.98,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
62,00000594.wav,00000594_augmented_spd_pch_nse.wav,6.98,7.0638,True,0.9881,True,False,False,AugmentationType.SPEED|PITCH|NOISE
63,00000594.wav,00000594_augmented_spd_pch_msk.wav,6.98,7.2979,True,0.9564,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
64,00000662.wav,00000662_augmented_spd_nse.wav,17.9254,16.3532,True,1.0961,False,True,False,AugmentationType.SPEED|NOISE
65,00000662.wav,00000662_augmented_pch_msk.wav,17.9254,17.9254,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
66,00000662.wav,00000662_augmented_spd_pch_nse.wav,17.9254,17.5848,True,1.0194,True,True,False,AugmentationType.SPEED|PITCH|NOISE
67,00000662.wav,00000662_augmented_spd_pch_msk.wav,17.9254,17.4998,True,1.0243,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
68,00000783.wav,00000783_augmented_spd_nse.wav,5.5535,6.0213,True,0.9223,False,True,False,AugmentationType.SPEED|NOISE
69,00000783.wav,00000783_augmented_pch_msk.wav,5.5535,5.5535,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
70,00000783.wav,00000783_augmented_spd_pch_nse.wav,5.5535,5.6342,True,0.9857,True,False,False,AugmentationType.SPEED|PITCH|NOISE
71,00000783.wav,00000783_augmented_spd_pch_msk.wav,5.5535,5.8894,True,0.943,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
72,00000875.wav,00000875_augmented_spd_nse.wav,11.2054,11.7988,True,0.9497,False,True,False,AugmentationType.SPEED|NOISE
73,00000875.wav,00000875_augmented_pch_msk.wav,11.2054,11.2054,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
74,00000875.wav,00000875_augmented_spd_pch_nse.wav,11.2054,10.8951,True,1.0285,True,False,False,AugmentationType.SPEED|PITCH|NOISE
75,00000875.wav,00000875_augmented_spd_pch_msk.wav,11.2054,10.4748,True,1.0698,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
76,00000887.wav,00000887_augmented_spd_nse.wav,9.0827,8.9521,True,1.0146,False,True,False,AugmentationType.SPEED|NOISE
77,00000887.wav,00000887_augmented_pch_msk.wav,9.0827,9.0827,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
78,00000887.wav,00000887_augmented_spd_pch_nse.wav,9.0827,9.2566,True,0.9812,True,False,False,AugmentationType.SPEED|PITCH|NOISE
79,00000887.wav,00000887_augmented_spd_pch_msk.wav,9.0827,9.975,True,0.9105,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
80,00000940.wav,00000940_augmented_spd_nse.wav,16.1441,17.4858,True,0.9233,False,True,False,AugmentationType.SPEED|NOISE
81,00000940.wav,00000940_augmented_pch_msk.wav,16.1441,16.1441,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
82,00000940.wav,00000940_augmented_spd_pch_nse.wav,16.1441,17.8665,True,0.9036,True,False,False,AugmentationType.SPEED|PITCH|NOISE
83,00000940.wav,00000940_augmented_spd_pch_msk.wav,16.1441,16.8099,True,0.9604,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
84,00001039.wav,00001039_augmented_spd_nse.wav,7.5467,7.9128,True,0.9537,False,True,False,AugmentationType.SPEED|NOISE
85,00001039.wav,00001039_augmented_pch_msk.wav,7.5467,7.5467,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
86,00001039.wav,00001039_augmented_spd_pch_nse.wav,7.5467,7.8159,True,0.9656,True,False,False,AugmentationType.SPEED|PITCH|NOISE
87,00001039.wav,00001039_augmented_spd_pch_msk.wav,7.5467,8.0692,True,0.9352,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
88,00001090.wav,00001090_augmented_spd_nse.wav,16.688,15.4644,True,1.0791,False,False,False,AugmentationType.SPEED|NOISE
89,00001090.wav,00001090_augmented_pch_msk.wav,16.688,16.688,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
90,00001090.wav,00001090_augmented_spd_pch_nse.wav,16.688,16.2194,True,1.0289,True,True,False,AugmentationType.SPEED|PITCH|NOISE
91,00001090.wav,00001090_augmented_spd_pch_msk.wav,16.688,16.6559,True,1.0019,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
92,00001165.wav,00001165_augmented_spd_nse.wav,3.7189,3.3832,True,1.0992,False,False,False,AugmentationType.SPEED|NOISE
93,00001165.wav,00001165_augmented_pch_msk.wav,3.7189,3.7189,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
94,00001165.wav,00001165_augmented_spd_pch_nse.wav,3.7189,3.9317,True,0.9459,True,True,False,AugmentationType.SPEED|PITCH|NOISE
95,00001165.wav,00001165_augmented_spd_pch_msk.wav,3.7189,3.5467,True,1.0485,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
96,00001233.wav,00001233_augmented_spd_nse.wav,10.3627,10.5706,True,0.9803,False,True,False,AugmentationType.SPEED|NOISE
97,00001233.wav,00001233_augmented_pch_msk.wav,10.3627,10.3627,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
98,00001233.wav,00001233_augmented_spd_pch_nse.wav,10.3627,10.0681,True,1.0293,True,True,False,AugmentationType.SPEED|PITCH|NOISE
99,00001233.wav,00001233_augmented_spd_pch_msk.wav,10.3627,10.6781,True,0.9705,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
100,00001251.wav,00001251_augmented_spd_nse.wav,15.216,15.5754,True,0.9769,False,True,False,AugmentationType.SPEED|NOISE
101,00001251.wav,00001251_augmented_pch_msk.wav,15.216,15.216,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
102,00001251.wav,00001251_augmented_spd_pch_nse.wav,15.216,15.5712,True,0.9772,True,True,False,AugmentationType.SPEED|PITCH|NOISE
103,00001251.wav,00001251_augmented_spd_pch_msk.wav,15.216,15.6058,True,0.975,True,False,False,AugmentationType.SPEED|PITCH|TIME_MASK
104,00001279.wav,00001279_augmented_spd_nse.wav,10.7147,11.0856,True,0.9665,False,False,False,AugmentationType.SPEED|NOISE
105,00001279.wav,00001279_augmented_pch_msk.wav,10.7147,10.7147,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
106,00001279.wav,00001279_augmented_spd_pch_nse.wav,10.7147,10.3739,True,1.0329,True,True,False,AugmentationType.SPEED|PITCH|NOISE
107,00001279.wav,00001279_augmented_spd_pch_msk.wav,10.7147,11.7598,True,0.9111,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
108,00001371.wav,00001371_augmented_spd_nse.wav,19.9094,20.6734,True,0.963,False,False,False,AugmentationType.SPEED|NOISE
109,00001371.wav,00001371_augmented_pch_msk.wav,19.9094,19.9094,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
110,00001371.wav,00001371_augmented_spd_pch_nse.wav,19.9094,20.6692,True,0.9632,True,True,False,AugmentationType.SPEED|PITCH|NOISE
111,00001371.wav,00001371_augmented_spd_pch_msk.wav,19.9094,19.8532,True,1.0028,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
112,00001406.wav,00001406_augmented_spd_nse.wav,19.1414,17.8461,True,1.0726,False,True,False,AugmentationType.SPEED|NOISE
113,00001406.wav,00001406_augmented_pch_msk.wav,19.1414,19.1414,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
114,00001406.wav,00001406_augmented_spd_pch_nse.wav,19.1414,18.5341,True,1.0328,True,True,False,AugmentationType.SPEED|PITCH|NOISE
115,00001406.wav,00001406_augmented_spd_pch_msk.wav,19.1414,20.5658,True,0.9307,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
116,00001435.wav,00001435_augmented_spd_nse.wav,13.12,12.4849,True,1.0509,False,True,False,AugmentationType.SPEED|NOISE
117,00001435.wav,00001435_augmented_pch_msk.wav,13.12,13.12,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
118,00001435.wav,00001435_augmented_spd_pch_nse.wav,13.12,14.2807,True,0.9187,True,False,False,AugmentationType.SPEED|PITCH|NOISE
119,00001435.wav,00001435_augmented_spd_pch_msk.wav,13.12,11.9661,True,1.0964,True,False,False,AugmentationType.SPEED|PITCH|TIME_MASK
120,00001451.wav,00001451_augmented_spd_nse.wav,18.4053,17.3456,True,1.0611,False,True,False,AugmentationType.SPEED|NOISE
121,00001451.wav,00001451_augmented_pch_msk.wav,18.4053,18.4053,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
122,00001451.wav,00001451_augmented_spd_pch_nse.wav,18.4053,18.1796,True,1.0124,True,True,False,AugmentationType.SPEED|PITCH|NOISE
123,00001451.wav,00001451_augmented_spd_pch_msk.wav,18.4053,19.2823,True,0.9545,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
124,00001541.wav,00001541_augmented_spd_nse.wav,12.9014,11.9245,True,1.0819,False,False,False,AugmentationType.SPEED|NOISE
125,00001541.wav,00001541_augmented_pch_msk.wav,12.9014,12.9014,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
126,00001541.wav,00001541_augmented_spd_pch_nse.wav,12.9014,12.7154,True,1.0146,True,True,False,AugmentationType.SPEED|PITCH|NOISE
127,00001541.wav,00001541_augmented_spd_pch_msk.wav,12.9014,12.4596,True,1.0355,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
128,00001548.wav,00001548_augmented_spd_nse.wav,17.008,18.8476,True,0.9024,False,False,False,AugmentationType.SPEED|NOISE
129,00001548.wav,00001548_augmented_pch_msk.wav,17.008,17.008,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
130,00001548.wav,00001548_augmented_spd_pch_nse.wav,17.008,17.2236,True,0.9875,True,False,False,AugmentationType.SPEED|PITCH|NOISE
131,00001548.wav,00001548_augmented_spd_pch_msk.wav,17.008,17.3563,True,0.9799,True,False,False,AugmentationType.SPEED|PITCH|TIME_MASK
132,00001717.wav,00001717_augmented_spd_nse.wav,14.32,13.9919,True,1.0235,False,True,False,AugmentationType.SPEED|NOISE
133,00001717.wav,00001717_augmented_pch_msk.wav,14.32,14.32,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
134,00001717.wav,00001717_augmented_spd_pch_nse.wav,14.32,13.9011,True,1.0301,True,False,False,AugmentationType.SPEED|PITCH|NOISE
135,00001717.wav,00001717_augmented_spd_pch_msk.wav,14.32,15.3439,True,0.9333,True,False,False,AugmentationType.SPEED|PITCH|TIME_MASK
136,00001719.wav,00001719_augmented_spd_nse.wav,14.0641,14.3749,True,0.9784,False,True,False,AugmentationType.SPEED|NOISE
137,00001719.wav,00001719_augmented_pch_msk.wav,14.0641,14.0641,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
138,00001719.wav,00001719_augmented_spd_pch_nse.wav,14.0641,14.934,True,0.9417,True,True,False,AugmentationType.SPEED|PITCH|NOISE
139,00001719.wav,00001719_augmented_spd_pch_msk.wav,14.0641,13.6252,True,1.0322,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
140,00001723.wav,00001723_augmented_spd_nse.wav,18.768,18.0637,True,1.039,False,True,False,AugmentationType.SPEED|NOISE
141,00001723.wav,00001723_augmented_pch_msk.wav,18.768,18.768,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
142,00001723.wav,00001723_augmented_spd_pch_nse.wav,18.768,17.8826,True,1.0495,True,True,False,AugmentationType.SPEED|PITCH|NOISE
143,00001723.wav,00001723_augmented_spd_pch_msk.wav,18.768,19.4998,True,0.9625,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
144,00001787.wav,00001787_augmented_spd_nse.wav,16.1334,15.6215,True,1.0328,False,True,False,AugmentationType.SPEED|NOISE
145,00001787.wav,00001787_augmented_pch_msk.wav,16.1334,16.1334,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
146,00001787.wav,00001787_augmented_spd_pch_nse.wav,16.1334,16.9138,True,0.9539,True,True,False,AugmentationType.SPEED|PITCH|NOISE
147,00001787.wav,00001787_augmented_spd_pch_msk.wav,16.1334,17.4068,True,0.9268,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
148,00001836.wav,00001836_augmented_spd_nse.wav,5.2961,4.8384,True,1.0946,False,True,False,AugmentationType.SPEED|NOISE
149,00001836.wav,00001836_augmented_pch_msk.wav,5.2961,5.2961,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
150,00001836.wav,00001836_augmented_spd_pch_nse.wav,5.2961,5.7339,True,0.9236,True,False,False,AugmentationType.SPEED|PITCH|NOISE
151,00001836.wav,00001836_augmented_spd_pch_msk.wav,5.2961,5.6881,True,0.9311,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
152,00001844.wav,00001844_augmented_spd_nse.wav,7.4507,6.7939,True,1.0967,False,True,False,AugmentationType.SPEED|NOISE
153,00001844.wav,00001844_augmented_pch_msk.wav,7.4507,7.4507,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
154,00001844.wav,00001844_augmented_spd_pch_nse.wav,7.4507,7.1497,True,1.0421,True,True,False,AugmentationType.SPEED|PITCH|NOISE
155,00001844.wav,00001844_augmented_spd_pch_msk.wav,7.4507,8.1409,True,0.9152,True,False,False,AugmentationType.SPEED|PITCH|TIME_MASK
156,00001855.wav,00001855_augmented_spd_nse.wav,8.72,9.5636,True,0.9118,False,True,False,AugmentationType.SPEED|NOISE
157,00001855.wav,00001855_augmented_pch_msk.wav,8.72,8.72,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
158,00001855.wav,00001855_augmented_spd_pch_nse.wav,8.72,8.3486,True,1.0445,True,True,False,AugmentationType.SPEED|PITCH|NOISE
159,00001855.wav,00001855_augmented_spd_pch_msk.wav,8.72,9.6653,True,0.9022,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
160,00001874.wav,00001874_augmented_spd_nse.wav,19.0774,18.9841,True,1.0049,False,True,False,AugmentationType.SPEED|NOISE
161,00001874.wav,00001874_augmented_pch_msk.wav,19.0774,19.0774,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
162,00001874.wav,00001874_augmented_spd_pch_nse.wav,19.0774,18.2266,True,1.0467,True,True,False,AugmentationType.SPEED|PITCH|NOISE
163,00001874.wav,00001874_augmented_spd_pch_msk.wav,19.0774,19.1629,True,0.9955,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
164,00001926.wav,00001926_augmented_spd_nse.wav,7.89,8.3976,True,0.9396,False,True,False,AugmentationType.SPEED|NOISE
165,00001926.wav,00001926_augmented_pch_msk.wav,7.89,7.89,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
166,00001926.wav,00001926_augmented_spd_pch_nse.wav,7.89,7.9524,True,0.9921,True,True,False,AugmentationType.SPEED|PITCH|NOISE
167,00001926.wav,00001926_augmented_spd_pch_msk.wav,7.89,8.6283,True,0.9144,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
168,00001940.wav,00001940_augmented_spd_nse.wav,8.73,9.1556,True,0.9535,False,True,False,AugmentationType.SPEED|NOISE
169,00001940.wav,00001940_augmented_pch_msk.wav,8.73,8.73,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
170,00001940.wav,00001940_augmented_spd_pch_nse.wav,8.73,8.5861,True,1.0168,True,True,False,AugmentationType.SPEED|PITCH|NOISE
171,00001940.wav,00001940_augmented_spd_pch_msk.wav,8.73,8.101,True,1.0776,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
172,00001955.wav,00001955_augmented_spd_nse.wav,8.1122,7.5596,True,1.0731,False,True,False,AugmentationType.SPEED|NOISE
173,00001955.wav,00001955_augmented_pch_msk.wav,8.1122,8.1122,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
174,00001955.wav,00001955_augmented_spd_pch_nse.wav,8.1122,7.5601,True,1.073,True,True,False,AugmentationType.SPEED|PITCH|NOISE
175,00001955.wav,00001955_augmented_spd_pch_msk.wav,8.1122,8.0324,True,1.0099,True,False,False,AugmentationType.SPEED|PITCH|TIME_MASK
176,00001958.wav,00001958_augmented_spd_nse.wav,8.4935,9.1161,True,0.9317,False,True,False,AugmentationType.SPEED|NOISE
177,00001958.wav,00001958_augmented_pch_msk.wav,8.4935,8.4935,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
178,00001958.wav,00001958_augmented_spd_pch_nse.wav,8.4935,7.9799,True,1.0644,True,True,False,AugmentationType.SPEED|PITCH|NOISE
179,00001958.wav,00001958_augmented_spd_pch_msk.wav,8.4935,9.1208,True,0.9312,True,False,False,AugmentationType.SPEED|PITCH|TIME_MASK
180,00001997.wav,00001997_augmented_spd_nse.wav,11.0134,10.2327,True,1.0763,False,False,False,AugmentationType.SPEED|NOISE
181,00001997.wav,00001997_augmented_pch_msk.wav,11.0134,11.0134,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
182,00001997.wav,00001997_augmented_spd_pch_nse.wav,11.0134,11.7672,True,0.9359,True,True,False,AugmentationType.SPEED|PITCH|NOISE
183,00001997.wav,00001997_augmented_spd_pch_msk.wav,11.0134,10.1126,True,1.0891,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
184,00002000.wav,00002000_augmented_spd_nse.wav,9.8187,10.6102,True,0.9254,False,True,False,AugmentationType.SPEED|NOISE
185,00002000.wav,00002000_augmented_pch_msk.wav,9.8187,9.8187,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
186,00002000.wav,00002000_augmented_spd_pch_nse.wav,9.8187,10.7452,True,0.9138,True,True,False,AugmentationType.SPEED|PITCH|NOISE
187,00002000.wav,00002000_augmented_spd_pch_msk.wav,9.8187,10.4666,True,0.9381,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
188,00002004.wav,00002004_augmented_spd_nse.wav,11.13,11.4198,True,0.9746,False,True,False,AugmentationType.SPEED|NOISE
189,00002004.wav,00002004_augmented_pch_msk.wav,11.13,11.13,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
190,00002004.wav,00002004_augmented_spd_pch_nse.wav,11.13,12.2633,True,0.9076,True,True,False,AugmentationType.SPEED|PITCH|NOISE
191,00002004.wav,00002004_augmented_spd_pch_msk.wav,11.13,10.7328,True,1.037,True,False,False,AugmentationType.SPEED|PITCH|TIME_MASK
192,00002141.wav,00002141_augmented_spd_nse.wav,5.9894,6.2305,True,0.9613,False,False,False,AugmentationType.SPEED|NOISE
193,00002141.wav,00002141_augmented_pch_msk.wav,5.9894,5.9894,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
194,00002141.wav,00002141_augmented_spd_pch_nse.wav,5.9894,6.3341,True,0.9456,True,False,False,AugmentationType.SPEED|PITCH|NOISE
