id,path,duration,text_spt,text_original,ref_normalized,hyp_normalized,wer,cer,sequence_similarity,ref_word_count,hyp_word_count,sentence_checked
3585,00011149_0.wav,11.84,"internet orqali o'sha telefonni chiqdi, o'sha telefon orqali bizlar ugovor qilishdik, iltimos, bizlarga rassrochka kerak, uch oyni ichida harakat qilamiz o'sha pulni","internet orqali urushadi telefoni chiqqan edi. O'sha telefon orqali bizlar ugavarivat qiluvdik, shto iltimos, bizlarga rassrochkaga kerak, shto uch oyni ichida harakat qilamiz o'sha pulni",internet orqali o'sha telefonni chiqdi o'sha telefon orqali bizlar ugovor qilishdik iltimos bizlarga rassrochka kerak uch oyni ichida harakat qilamiz o'sha pulni,internet orqali urushadi telefoni chiqqan edi o'sha telefon orqali bizlar ugavarivat qiluvdik shto iltimos bizlarga rassrochkaga kerak shto uch oyni ichida harakat qilamiz o'sha pulni,0.4091,0.1988,0.8895,22,25,"internet orqali o'sha telefonni chiqgan edi, o'sha telefon orqali bizlar ugavarivat qilgan edik, iltimos, bizlarga rassrochkaga kerak, uch oyni ichida harakat qilamiz o'sha pulni"
27408,00000543_1.wav,4.95,"muhimroq bo'lgan, aytib o'tganimdek, o'sha paytda","eng muhim paytda, eng muhimroq bo'lgan. Aytib o'tganimdek, o'sha paytdagi prioritet,",muhimroq bo'lgan aytib o'tganimdek o'sha paytda,eng muhim paytda eng muhimroq bo'lgan aytib o'tganimdek o'sha paytdagi prioritet,1.0,0.7021,0.7402,6,11,"muhimroq bo'lgan, aytib o'tganimdek, o'sha paytdagi prioritet"
23262,00006869_0.wav,14.25,"Etilen glikol yoki dietilen glikol mavjudligidan korifni xabari bo'lganligi avvalambor, mazkur holat odamlarning o'limiga sabab bo'lishi mumkinligini ham bilganligi va bunda oqibatlarni yuz berishini istaganligini tasdiqlovchi birorta dalil aniqlanmagan.","etilenglikol yoki dietilenglikol mavjudligidan Karifning xabari boʻlganligi, avvalambor. Mazkur holat odamlarning oʻlimiga sabab boʻlishi mumkinligini ham bilganligi va bunday oqibatlarni yuz berishini istaganligini tasdiqlovchi birorta dalil aniqlanmagan.",etilen glikol yoki dietilen glikol mavjudligidan korifni xabari bo'lganligi avvalambor mazkur holat odamlarning o'limiga sabab bo'lishi mumkinligini ham bilganligi va bunda oqibatlarni yuz berishini istaganligini tasdiqlovchi birorta dalil aniqlanmagan,etilenglikol yoki dietilenglikol mavjudligidan karifning xabari bo'lganligi avvalambor mazkur holat odamlarning o'limiga sabab bo'lishi mumkinligini ham bilganligi va bunday oqibatlarni yuz berishini istaganligini tasdiqlovchi birorta dalil aniqlanmagan,0.2069,0.0238,0.9861,29,27,"Etilen glikol yoki dietilen glikol mavjudligidan Karievning xabari bo'lganligi avvalambor, mazkur holat odamlarning o'limiga sabab bo'lishi mumkinligini ham bilganligi va bunday oqibatlarni yuz berishini istaganligini tasdiqlovchi birorta dalil aniqlanmagan."
26940,00000207_1.wav,4.27,"O'sha standartni topib bo'lganingiz uchun, masalan, menga kelgan bemor","o'sha standartda bo'lganingiz uchun, masalan, menga kelgan bemor",o'sha standartni topib bo'lganingiz uchun masalan menga kelgan bemor,o'sha standartda bo'lganingiz uchun masalan menga kelgan bemor,0.2222,0.1176,0.9231,9,8,"O'sha standartni topib bo'lganingiz uchun, masalan, menga kelgan bemor"
5099,00010937_0.wav,18.25,"qilmaydi, qilmaydi. O'sha avtoservis strategik u qanaqa iqtisod bo'ldi, agar 9600 rasxod, fakticheskiy rasxod, davlat rasxodi bo'lsa, agar o'shani hisobga olsa, agar","qilmaydi, obslujit qilmaydi. Itogo o'sha autsorting pomimo vot etot strategicheskiy, u qanaqa ekonomiya bo'ldi? Agar 9600 rasxod eto fakticheskiy rasxod davlatniy rasxodi bo'lsa agar, o'shani hisobga olsa agar,",qilmaydi qilmaydi o'sha avtoservis strategik u qanaqa iqtisod bo'ldi agar to'qqiz ming olti yuz rasxod fakticheskiy rasxod davlat rasxodi bo'lsa agar o'shani hisobga olsa agar,qilmaydi obslujit qilmaydi itogo o'sha autsorting pomimo vot etot strategicheskiy u qanaqa ekonomiya bo'ldi agar to'qqiz ming olti yuz rasxod eto fakticheskiy rasxod davlatniy rasxodi bo'lsa agar o'shani hisobga olsa agar,0.4,0.3371,0.0909,25,31,"qilmaydi, obslujit qilmaydi. Itogo o'sha autosorting pomimo strategik u qanaqa iqtisod bo'ldi, agar 9600 rasxod, fakticheskiy rasxod, davlat rasxodi bo'lsa agar, o'shani hisobga olsa agar,"
24350,00013074_0.wav,15.04,"kutiladi va bu o'z-o'zidan, ya'ni biz vegetatsiyaga kirib qolyapmiz hozir. Juda ham ko'p joylarda kurtaklar, daraxtlar gullayapti, o't-o'lanlar chiqyapti. O't-o'lanlar chiqyapti. Bu ana shu harorat muhiti, ya'ni nol darajaga yaqinlashib, tuproq ustida nol darajaga yaqin","kutiladi va bu o'z-o'zidan, ya'ni biz vegetatsiyaga kirib qolyapmiz hozir. Juda ham ko'p hududlarda kurtaklar, daraxtlar gullayapti, o't-o'lanlar chiqyapti. Paxtasi ham boshlab yuborishdi. Ha, o't-o'lanlar chiqyapti. Bu ana shu xarorat muhiti, ya'ni nol darajaga yaqinlashishi, tuproq ustida nol darajaga yaqin",kutiladi va bu o'z-o'zidan ya'ni biz vegetatsiyaga kirib qolyapmiz hozir juda ham ko'p joylarda kurtaklar daraxtlar gullayapti o't-o'lanlar chiqyapti o't-o'lanlar chiqyapti bu ana shu harorat muhiti ya'ni nol darajaga yaqinlashib tuproq ustida nol darajaga yaqin,kutiladi va bu o'z-o'zidan ya'ni biz vegetatsiyaga kirib qolyapmiz hozir juda ham ko'p hududlarda kurtaklar daraxtlar gullayapti o't-o'lanlar chiqyapti paxtasi ham boshlab yuborishdi ha o't-o'lanlar chiqyapti bu ana shu xarorat muhiti ya'ni nol darajaga yaqinlashishi tuproq ustida nol darajaga yaqin,0.2286,0.1641,0.3808,35,40,"kutiladi va bu o'z-o'zidan, ya'ni biz vegetatsiyaga kirib qolyapmiz hozir. Juda ham ko'p hududlarda kurtaklar, daraxtlar gullayapti, o't-o'lanlar chiqyapti. Paxta ekishni ham boshlab yuborishdi. Ha. O't-o'lanlar chiqyapti. Bu ana shu harorat muhiti, ya'ni nol darajaga yaqinlashib, tuproq ustida nol darajaga yaqin"
29898,00006472_1.wav,10.55,"o't degani o'qituvchi baqiryapti deyaptida, ya'ni ularni qadriyatlar tizimida katta bo'lgan bolalar O'zbekistonga kelgandan keyin u yoqqa umuman tusholmaydi.","i o't degani o'qituvchi baqiryapti deyapti-da, ya'ni ularni qadriyatlar tizimida katta bo'lgan bolalar O'zbekistonga kelgandan keyin u yoqqa umuman tusha olmaydi.",o't degani o'qituvchi baqiryapti deyaptida ya'ni ularni qadriyatlar tizimida katta bo'lgan bolalar o'zbekistonga kelgandan keyin u yoqqa umuman tusholmaydi,i o't degani o'qituvchi baqiryapti deyapti-da ya'ni ularni qadriyatlar tizimida katta bo'lgan bolalar o'zbekistonga kelgandan keyin u yoqqa umuman tusha olmaydi,0.2105,0.0323,0.9841,19,21,"u yerdagi o'qituvchi baqiryapti deyapti-da, ya'ni ularni qadriyatlar tizimida katta bo'lgan bolalar O'zbekistonga kelgandan keyin, u yoqqa umuman tusha olmaydi."
7035,00015929_0.wav,9.03,,"ya'ni disciplinirovanniy o'tirib o'qiy oladi. Borib agar hammasida, buni ham aytib o'tay, tomoshabinlarimizga.",,ya'ni disciplinirovanniy o'tirib o'qiy oladi borib agar hammasida buni ham aytib o'tay tomoshabinlarimizga,13.0,106.0,0.0,0,13,"ya'ni disciplinirovanniy o'tirib o'qiy oladi. Borib agar hammasida, buni ham aytib o'tay, tomoshabinlarimizga."
10308,00013897_0.wav,21.23,"juda ham ko'p kirib keladi, iltimos. Kimikat ham juda ko'p. Sirop qo'shadida. Hamma narsani kesib oladida, optom qilib. Bir kun yig'ilib hamma narsani kesib-kesib-kesib, katta idishga hammasini soladida, u yerda kimikat soladi. Masalan, ikki kunga turib beradigan sho'r bodring bir hafta turib beradi. Ikki kun oldin kesilgan sho'r bodringni bir haftadan keyin yeyishingiz ham mumkin.","McDonald'sda ximikatmi, iltimos. Ximikat ham juda ko'p. Sirop qo'shadi-da. Hamma narsani kesib oladi-da, optim qilib. Bir kun yig'ilib, hamma narsani kesib-kesib-kesib, katta idishga hammasini soladi-da. U yerda ximikat soladi. Masalan, ikki kunga turib beradigan sho'rbodring, bir hafta turib beradi. Ikki kun oldin kesilgan sho'rbodringni bir haftadan keyin yeyishingiz ham mumkin.",juda ham ko'p kirib keladi iltimos kimikat ham juda ko'p sirop qo'shadida hamma narsani kesib oladida optom qilib bir kun yig'ilib hamma narsani kesib-kesib-kesib katta idishga hammasini soladida u yerda kimikat soladi masalan ikki kunga turib beradigan sho'r bodring bir hafta turib beradi ikki kun oldin kesilgan sho'r bodringni bir haftadan keyin yeyishingiz ham mumkin,mcdonald'sda ximikatmi iltimos ximikat ham juda ko'p sirop qo'shadi-da hamma narsani kesib oladi-da optim qilib bir kun yig'ilib hamma narsani kesib-kesib-kesib katta idishga hammasini soladi-da u yerda ximikat soladi masalan ikki kunga turib beradigan sho'rbodring bir hafta turib beradi ikki kun oldin kesilgan sho'rbodringni bir haftadan keyin yeyishingiz ham mumkin,0.2727,0.0726,0.3428,55,50,
10101,00013756_0.wav,28.21,vaqtida reaksiya kirishmayotgani shifokorlarning vaqtida bemorlar olib borib yotqizilmayotgan joylashtirilmayotgan bemorlar vaqtida joy olib boryapti yoki olib bormayapti shu masalani ko'rib chiqdik siz bilan bugun ham ertadan yaqin shu vaqtda baribir bir qism kasallik majburmiz baribir uy sharoitida davolash hozir afsuski bilasiz bitta shu,"vaqtida haligi reaksiyaga kirishmayotgani shifokorlarning, vaqtida bemorlarni olib borib yotqizilmayotgan, joylashtirilmayotgan... Bemorlar vaqtida olib borilyapti yoki olib borilmayapti, bu masalani biz ko'rib chiqdik-ku siz bilan. Bugun dami, ertadanmi, yaqin shu atrofdami, baribir bir qism kasal biz majburmiz baribir uy sharoitida davolash. Hozir afsuski, bilasiz, bitta shu analiz...",vaqtida reaksiya kirishmayotgani shifokorlarning vaqtida bemorlar olib borib yotqizilmayotgan joylashtirilmayotgan bemorlar vaqtida joy olib boryapti yoki olib bormayapti shu masalani ko'rib chiqdik siz bilan bugun ham ertadan yaqin shu vaqtda baribir bir qism kasallik majburmiz baribir uy sharoitida davolash hozir afsuski bilasiz bitta shu,vaqtida haligi reaksiyaga kirishmayotgani shifokorlarning vaqtida bemorlarni olib borib yotqizilmayotgan joylashtirilmayotgan bemorlar vaqtida olib borilyapti yoki olib borilmayapti bu masalani biz ko'rib chiqdik-ku siz bilan bugun dami ertadanmi yaqin shu atrofdami baribir bir qism kasal biz majburmiz baribir uy sharoitida davolash hozir afsuski bilasiz bitta shu analiz,0.3409,0.1433,0.4783,44,47,"vaqtida reaksiyaga kirishmayotgani shifokorlarning, vaqtida bemorlarni olib borib yotqizilmayotgan, joylashtirilmayotgan... Bemorlar vaqtida joy yo'q, olib boryapti yoki olib bormayapti shu masalani ko'rib chiqdik-a, siz bilan? Bugundanmi, ertadanmi yaqin shu atrofdami, baribir bir qism kasalmizku. Majburmiz baribir uy sharoitida davolashga. Hozir afsuski bilasiz bitta shu analiz"
26170,00018029_1.wav,14.24,"Chunki hammada up and down bo'ladi, har qanaqasiga, hamma biznesda. O'sha down bo'lgan paytda, voy men noto'g'ri qildim ekan, boshqa narsa qilsam bo'lardi ekan, deb odam o'ylaydi-ku.","Chunki hammada up and down bo'ladi, har qanaqasiga, hamma biznesda. O'sha down bo'lgan paytda, voy, men noto'g'ri qildimmikin, boshqa narsa qilsam bo'lardikin, deb odamni o'ylaydi-yu,",chunki hammada up and down bo'ladi har qanaqasiga hamma biznesda o'sha down bo'lgan paytda voy men noto'g'ri qildim ekan boshqa narsa qilsam bo'lardi ekan deb odam o'ylaydi-ku,chunki hammada up and down bo'ladi har qanaqasiga hamma biznesda o'sha down bo'lgan paytda voy men noto'g'ri qildimmikin boshqa narsa qilsam bo'lardikin deb odamni o'ylaydi-yu,0.2222,0.0514,0.96,27,25,"Chunki hammada up and down bo'ladi, har qanaqasiga, hamma biznesda. O'sha down bo'lgan paytda, voy men noto'g'ri qildimmikan, boshqa narsa qilsam bo'lardi ekan, deb odam o'ylaydi-ku."
2213,00017488.wav,16.8121875,"belgilanganidan ortiq narxda sotayotgan holatlar uchrayotgan bo'ladigan bo'lsa, O'zbekiston Airways aviakompaniyasini call-centerlariga murojaat qilishlari mumkin fuqarolarimiz.","belgilangandan ortiq narxda sotayotgan holatlar uchrayotgan boʻladigan boʻlsa, Oʻzbekiston Airways aviakompaniyasining call centerlariga murojaat qilishlari mumkin fuqarolarimiz.",belgilanganidan ortiq narxda sotayotgan holatlar uchrayotgan bo'ladigan bo'lsa o'zbekiston airways aviakompaniyasini call-centerlariga murojaat qilishlari mumkin fuqarolarimiz,belgilangandan ortiq narxda sotayotgan holatlar uchrayotgan bo'ladigan bo'lsa o'zbekiston airways aviakompaniyasining call centerlariga murojaat qilishlari mumkin fuqarolarimiz,0.25,0.0229,0.9858,16,17,
8581,00000990_1.wav,11.88,"o'sha keyin yo bo'lmasa yaxshi-yaxshi restoranlarga kirib, odamlar qanaqa kiyinishim kiyapti, nimalar qilyapti. Kiraman, kimdirlar ishimida kiyinishimda ham shunaqa qilsa bo'lar ekan.","o'sha keyin yo bo'lmasam yaxshi-yaxshi restoranlarga kirib, odamlar qanaqa kastyum kiyapti, nimalar qilyapti. Kiraman, kimdirlar shimida bo'ladi, kastyum shuni ham shunaqa qilsa bo'lar ekan.",o'sha keyin yo bo'lmasa yaxshi-yaxshi restoranlarga kirib odamlar qanaqa kiyinishim kiyapti nimalar qilyapti kiraman kimdirlar ishimida kiyinishimda ham shunaqa qilsa bo'lar ekan,o'sha keyin yo bo'lmasam yaxshi-yaxshi restoranlarga kirib odamlar qanaqa kastyum kiyapti nimalar qilyapti kiraman kimdirlar shimida bo'ladi kastyum shuni ham shunaqa qilsa bo'lar ekan,0.2727,0.1573,0.895,22,24,"o'sha, keyin yoki bo'lmasa yaxshi-yaxshi restoranlarga kirib, odamlar qanaqa kostyum-shim kiyapti, nimalar qilyapti. Kiraman, kimdirlar shimida bo'ladi. Kostyum-shimda ham shunaqa qilsa bo'lar ekan."
