path,chunk_path,duration,chunk_index
00004358.wav,00004358_0.wav,23.24,0
00004356.wav,00004356_0.wav,28.44,0
00004355.wav,00004355_0.wav,27.31,0
00004359.wav,00004359_0.wav,24.53,0
00004361.wav,00004361_0.wav,22.91,0
00004360.wav,00004360_0.wav,10.28,0
00004360.wav,00004360_1.wav,12.49,1
00004364.wav,00004364_0.wav,28.47,0
00004369.wav,00004369_0.wav,23.24,0
00004367.wav,00004367_0.wav,22.07,0
00004371.wav,00004371_0.wav,7.76,0
00004371.wav,00004371_1.wav,11.62,1
00004365.wav,00004365_0.wav,25.56,0
00004368.wav,00004368_0.wav,28.48,0
00004370.wav,00004370_0.wav,27.6,0
00004373.wav,00004373_0.wav,13.72,0
00004373.wav,00004373_1.wav,10.0,1
00004372.wav,00004372_0.wav,28.44,0
00004374.wav,00004374_0.wav,21.79,0
00004377.wav,00004377_0.wav,28.48,0
00004376.wav,00004376_0.wav,28.44,0
00004375.wav,00004375_0.wav,7.37,0
00004375.wav,00004375_1.wav,17.7,1
00004378.wav,00004378_0.wav,25.64,0
00004379.wav,00004379_0.wav,22.9,0
00004380.wav,00004380_0.wav,23.08,0
00004381.wav,00004381_0.wav,28.49,0
00004386.wav,00004386_0.wav,22.86,0
00004382.wav,00004382_0.wav,27.12,0
00004384.wav,00004384_0.wav,28.08,0
00004387.wav,00004387_0.wav,15.27,0
00004387.wav,00004387_1.wav,10.74,1
00004388.wav,00004388_0.wav,26.18,0
00004389.wav,00004389_0.wav,15.6,0
00004389.wav,00004389_1.wav,8.35,1
00004390.wav,00004390_0.wav,15.83,0
00004390.wav,00004390_1.wav,9.86,1
00004391.wav,00004391_0.wav,24.05,0
00004394.wav,00004394_0.wav,17.12,0
00004393.wav,00004393_0.wav,22.48,0
00004395.wav,00004395_0.wav,27.89,0
00004397.wav,00004397_0.wav,17.61,0
00004392.wav,00004392_0.wav,28.48,0
00004399.wav,00004399_0.wav,28.46,0
00004398.wav,00004398_0.wav,28.45,0
00004396.wav,00004396_0.wav,28.44,0
00004400.wav,00004400_0.wav,28.33,0
00004401.wav,00004401_0.wav,28.47,0
00004404.wav,00004404_0.wav,28.46,0
00004402.wav,00004402_0.wav,28.48,0
00004403.wav,00004403_0.wav,28.34,0
00004405.wav,00004405_0.wav,28.25,0
00004408.wav,00004408_0.wav,28.46,0
00004407.wav,00004407_0.wav,28.49,0
00004406.wav,00004406_0.wav,28.45,0
00004412.wav,00004412_0.wav,13.09,0
00004409.wav,00004409_0.wav,28.41,0
00004411.wav,00004411_0.wav,28.41,0
00004413.wav,00004413_0.wav,28.49,0
00004410.wav,00004410_0.wav,28.48,0
00004416.wav,00004416_0.wav,23.55,0
00004414.wav,00004414_0.wav,28.49,0
00004415.wav,00004415_0.wav,28.41,0
00004417.wav,00004417_0.wav,28.49,0
00004418.wav,00004418_0.wav,28.48,0
00004420.wav,00004420_0.wav,28.5,0
00004421.wav,00004421_0.wav,28.5,0
00004419.wav,00004419_0.wav,28.5,0
00004423.wav,00004423_0.wav,28.43,0
00004422.wav,00004422_0.wav,27.69,0
00004425.wav,00004425_0.wav,28.49,0
00004426.wav,00004426_0.wav,28.49,0
00004428.wav,00004428_0.wav,28.49,0
00004429.wav,00004429_0.wav,28.44,0
00004433.wav,00004433_0.wav,17.56,0
00004433.wav,00004433_1.wav,10.82,1
00004431.wav,00004431_0.wav,27.65,0
00004432.wav,00004432_0.wav,28.48,0
00004434.wav,00004434_0.wav,24.29,0
00004434.wav,00004434_1.wav,4.04,1
00004435.wav,00004435_0.wav,28.44,0
00004438.wav,00004438_0.wav,18.35,0
00004436.wav,00004436_0.wav,24.06,0
00004437.wav,00004437_0.wav,4.07,0
00004437.wav,00004437_1.wav,24.4,1
00004442.wav,00004442_0.wav,24.08,0
00004440.wav,00004440_0.wav,28.49,0
00004439.wav,00004439_0.wav,13.34,0
00004439.wav,00004439_1.wav,13.88,1
00004441.wav,00004441_0.wav,28.43,0
00004448.wav,00004448_0.wav,17.95,0
00004444.wav,00004444_0.wav,28.49,0
00004446.wav,00004446_0.wav,13.65,0
00004446.wav,00004446_1.wav,10.41,1
00004443.wav,00004443_0.wav,13.98,0
00004443.wav,00004443_1.wav,7.73,1
00004450.wav,00004450_0.wav,23.97,0
00004451.wav,00004451_0.wav,20.32,0
00004451.wav,00004451_1.wav,8.09,1
00004452.wav,00004452_0.wav,28.49,0
00004458.wav,00004458_0.wav,25.15,0
00004459.wav,00004459_0.wav,16.28,0
00004459.wav,00004459_1.wav,10.53,1
00004453.wav,00004453_0.wav,28.49,0
00004460.wav,00004460_0.wav,28.49,0
00004456.wav,00004456_0.wav,28.45,0
00004462.wav,00004462_0.wav,28.46,0
00004465.wav,00004465_0.wav,24.15,0
00004463.wav,00004463_0.wav,28.49,0
00004467.wav,00004467_0.wav,15.22,0
00004467.wav,00004467_1.wav,10.84,1
00004464.wav,00004464_0.wav,10.01,0
00004464.wav,00004464_1.wav,18.45,1
00004468.wav,00004468_0.wav,28.48,0
00004466.wav,00004466_0.wav,28.5,0
00004469.wav,00004469_0.wav,28.46,0
00004472.wav,00004472_0.wav,16.46,0
00004470.wav,00004470_0.wav,28.49,0
00004471.wav,00004471_0.wav,28.44,0
00004474.wav,00004474_0.wav,20.39,0
00004475.wav,00004475_0.wav,9.25,0
00004475.wav,00004475_1.wav,18.1,1
00004473.wav,00004473_0.wav,26.68,0
00004476.wav,00004476_0.wav,25.66,0
00004478.wav,00004478_0.wav,18.48,0
00004478.wav,00004478_1.wav,6.97,1
00004481.wav,00004481_0.wav,19.75,0
00004479.wav,00004479_0.wav,5.01,0
00004479.wav,00004479_1.wav,14.55,1
00004479.wav,00004479_2.wav,5.15,2
00004480.wav,00004480_0.wav,19.98,0
00004480.wav,00004480_1.wav,7.02,1
00004484.wav,00004484_0.wav,10.72,0
00004484.wav,00004484_1.wav,9.07,1
00004483.wav,00004483_0.wav,11.51,0
00004483.wav,00004483_1.wav,15.87,1
00004486.wav,00004486_0.wav,9.12,0
00004486.wav,00004486_1.wav,17.79,1
00004487.wav,00004487_0.wav,28.42,0
00004485.wav,00004485_0.wav,27.96,0
00004491.wav,00004491_0.wav,15.36,0
00004491.wav,00004491_1.wav,11.97,1
00004489.wav,00004489_0.wav,14.81,0
00004489.wav,00004489_1.wav,9.45,1
00004490.wav,00004490_0.wav,9.41,0
00004490.wav,00004490_1.wav,17.38,1
00004492.wav,00004492_0.wav,28.36,0
00004494.wav,00004494_0.wav,28.48,0
00004495.wav,00004495_0.wav,28.49,0
00004493.wav,00004493_0.wav,28.46,0
00004497.wav,00004497_0.wav,26.68,0
00004496.wav,00004496_0.wav,28.25,0
00004501.wav,00004501_0.wav,28.49,0
00004498.wav,00004498_0.wav,28.46,0
00004500.wav,00004500_0.wav,28.48,0
00004502.wav,00004502_0.wav,28.46,0
00004503.wav,00004503_0.wav,28.48,0
00004504.wav,00004504_0.wav,28.5,0
00004505.wav,00004505_0.wav,28.5,0
00004506.wav,00004506_0.wav,28.45,0
00004509.wav,00004509_0.wav,20.24,0
00004507.wav,00004507_0.wav,28.44,0
00004508.wav,00004508_0.wav,28.43,0
00004511.wav,00004511_0.wav,28.23,0
00004512.wav,00004512_0.wav,28.38,0
00004514.wav,00004514_0.wav,28.49,0
00004513.wav,00004513_0.wav,4.6,0
00004513.wav,00004513_1.wav,23.77,1
00004516.wav,00004516_0.wav,28.4,0
00004515.wav,00004515_0.wav,28.44,0
00004517.wav,00004517_0.wav,27.33,0
00004518.wav,00004518_0.wav,28.48,0
00004521.wav,00004521_0.wav,28.49,0
00004519.wav,00004519_0.wav,28.49,0
00004520.wav,00004520_0.wav,28.48,0
00004523.wav,00004523_0.wav,28.32,0
00004524.wav,00004524_0.wav,4.54,0
00004524.wav,00004524_1.wav,23.89,1
00004522.wav,00004522_0.wav,27.89,0
00004525.wav,00004525_0.wav,22.36,0
00004525.wav,00004525_1.wav,5.94,1
00004528.wav,00004528_0.wav,22.72,0
00004528.wav,00004528_1.wav,5.63,1
00004526.wav,00004526_0.wav,28.37,0
00004532.wav,00004532_0.wav,23.69,0
00004529.wav,00004529_0.wav,28.46,0
00004531.wav,00004531_0.wav,22.59,0
00004531.wav,00004531_1.wav,5.8,1
00004533.wav,00004533_0.wav,12.94,0
00004533.wav,00004533_1.wav,15.26,1
00004535.wav,00004535_0.wav,28.45,0
00004534.wav,00004534_0.wav,28.5,0
00004537.wav,00004537_0.wav,28.47,0
00004538.wav,00004538_0.wav,28.49,0
00004539.wav,00004539_0.wav,28.47,0
00004542.wav,00004542_0.wav,28.43,0
00004545.wav,00004545_0.wav,23.75,0
00004544.wav,00004544_0.wav,19.85,0
00004544.wav,00004544_1.wav,8.41,1
00004541.wav,00004541_0.wav,12.7,0
00004541.wav,00004541_1.wav,15.65,1
00004547.wav,00004547_0.wav,18.52,0
00004546.wav,00004546_0.wav,28.45,0
00004549.wav,00004549_0.wav,10.73,0
00004549.wav,00004549_1.wav,17.6,1
00004550.wav,00004550_0.wav,28.34,0
00004548.wav,00004548_0.wav,28.49,0
00004555.wav,00004555_0.wav,19.01,0
00004552.wav,00004552_0.wav,11.81,0
00004552.wav,00004552_1.wav,16.3,1
00004551.wav,00004551_0.wav,28.22,0
00004553.wav,00004553_0.wav,28.47,0
00004554.wav,00004554_0.wav,28.42,0
00004556.wav,00004556_0.wav,28.39,0
00004557.wav,00004557_0.wav,28.49,0
00004560.wav,00004560_0.wav,14.55,0
00004560.wav,00004560_1.wav,13.55,1
00004558.wav,00004558_0.wav,28.46,0
00004562.wav,00004562_0.wav,28.34,0
00004559.wav,00004559_0.wav,28.28,0
00004561.wav,00004561_0.wav,28.5,0
00004563.wav,00004563_0.wav,28.13,0
00004564.wav,00004564_0.wav,28.5,0
00004565.wav,00004565_0.wav,28.43,0
00004566.wav,00004566_0.wav,28.49,0
00004567.wav,00004567_0.wav,28.47,0
00004568.wav,00004568_0.wav,10.53,0
00004568.wav,00004568_1.wav,17.88,1
00004569.wav,00004569_0.wav,28.44,0
00004570.wav,00004570_0.wav,28.47,0
00004571.wav,00004571_0.wav,7.65,0
00004571.wav,00004571_1.wav,10.62,1
00004571.wav,00004571_2.wav,10.13,2
00004572.wav,00004572_0.wav,14.38,0
00004572.wav,00004572_1.wav,13.98,1
00004573.wav,00004573_0.wav,28.49,0
00004577.wav,00004577_0.wav,10.76,0
00004577.wav,00004577_1.wav,17.38,1
00004576.wav,00004576_0.wav,28.31,0
00004575.wav,00004575_0.wav,28.44,0
00004578.wav,00004578_0.wav,12.8,0
00004578.wav,00004578_1.wav,15.52,1
00004580.wav,00004580_0.wav,18.64,0
00004580.wav,00004580_1.wav,9.6,1
00004579.wav,00004579_0.wav,28.48,0
00004581.wav,00004581_0.wav,28.46,0
00004583.wav,00004583_0.wav,17.12,0
00004583.wav,00004583_1.wav,10.96,1
00004582.wav,00004582_0.wav,28.48,0
00004584.wav,00004584_0.wav,28.45,0
00004585.wav,00004585_0.wav,5.79,0
00004585.wav,00004585_1.wav,22.63,1
00004587.wav,00004587_0.wav,14.03,0
00004587.wav,00004587_1.wav,14.34,1
00004588.wav,00004588_0.wav,16.39,0
00004588.wav,00004588_1.wav,12.1,1
00004586.wav,00004586_0.wav,7.8,0
00004586.wav,00004586_1.wav,20.39,1
00004590.wav,00004590_0.wav,21.02,0
00004590.wav,00004590_1.wav,7.43,1
00004589.wav,00004589_0.wav,28.49,0
00004592.wav,00004592_0.wav,10.42,0
00004592.wav,00004592_1.wav,18.02,1
00004591.wav,00004591_0.wav,28.47,0
00004595.wav,00004595_0.wav,20.3,0
00004593.wav,00004593_0.wav,28.26,0
00004594.wav,00004594_0.wav,28.49,0
00004596.wav,00004596_0.wav,28.5,0
00004597.wav,00004597_0.wav,28.48,0
00004599.wav,00004599_0.wav,22.17,0
00004600.wav,00004600_0.wav,28.49,0
00004598.wav,00004598_0.wav,28.48,0
00004601.wav,00004601_0.wav,28.48,0
00004603.wav,00004603_0.wav,28.48,0
00004602.wav,00004602_0.wav,28.5,0
00004604.wav,00004604_0.wav,28.49,0
00004607.wav,00004607_0.wav,19.84,0
00004605.wav,00004605_0.wav,28.43,0
00004606.wav,00004606_0.wav,20.59,0
00004606.wav,00004606_1.wav,6.84,1
00004608.wav,00004608_0.wav,24.38,0
00004609.wav,00004609_0.wav,28.4,0
00004610.wav,00004610_0.wav,18.69,0
00004610.wav,00004610_1.wav,8.07,1
00004611.wav,00004611_0.wav,22.83,0
00004612.wav,00004612_0.wav,28.49,0
00004613.wav,00004613_0.wav,15.09,0
00004613.wav,00004613_1.wav,5.89,1
00004615.wav,00004615_0.wav,28.48,0
00004614.wav,00004614_0.wav,28.43,0
00004617.wav,00004617_0.wav,28.48,0
00004616.wav,00004616_0.wav,28.44,0
00004620.wav,00004620_0.wav,11.04,0
00004620.wav,00004620_1.wav,11.62,1
00004618.wav,00004618_0.wav,28.46,0
00004623.wav,00004623_0.wav,28.03,0
00004625.wav,00004625_0.wav,11.17,0
00004625.wav,00004625_1.wav,11.57,1
00004628.wav,00004628_0.wav,16.23,0
00004628.wav,00004628_1.wav,10.05,1
00004627.wav,00004627_0.wav,9.2,0
00004627.wav,00004627_1.wav,11.82,1
00004627.wav,00004627_2.wav,4.09,2
00004632.wav,00004632_0.wav,15.73,0
00004630.wav,00004630_0.wav,5.14,0
00004630.wav,00004630_1.wav,18.8,1
00004630.wav,00004630_2.wav,4.04,2
00004629.wav,00004629_0.wav,13.42,0
00004629.wav,00004629_1.wav,11.12,1
00004633.wav,00004633_0.wav,25.22,0
00004635.wav,00004635_0.wav,24.23,0
00004634.wav,00004634_0.wav,28.45,0
00004636.wav,00004636_0.wav,28.47,0
00004641.wav,00004641_0.wav,28.47,0
00004637.wav,00004637_0.wav,28.48,0
00004640.wav,00004640_0.wav,22.08,0
00004640.wav,00004640_1.wav,6.37,1
00004643.wav,00004643_0.wav,28.45,0
00004644.wav,00004644_0.wav,8.96,0
00004644.wav,00004644_1.wav,19.42,1
00004642.wav,00004642_0.wav,28.37,0
00004646.wav,00004646_0.wav,28.32,0
00004647.wav,00004647_0.wav,28.48,0
00004648.wav,00004648_0.wav,28.47,0
00004650.wav,00004650_0.wav,28.49,0
00004649.wav,00004649_0.wav,14.42,0
00004649.wav,00004649_1.wav,10.39,1
00004652.wav,00004652_0.wav,7.74,0
00004652.wav,00004652_1.wav,20.53,1
00004651.wav,00004651_0.wav,28.35,0
00004653.wav,00004653_0.wav,28.44,0
00004654.wav,00004654_0.wav,28.45,0
00004655.wav,00004655_0.wav,9.27,0
00004655.wav,00004655_1.wav,19.2,1
00004658.wav,00004658_0.wav,28.49,0
00004661.wav,00004661_0.wav,16.82,0
00004660.wav,00004660_0.wav,28.49,0
00004656.wav,00004656_0.wav,28.49,0
00004659.wav,00004659_0.wav,28.49,0
00004663.wav,00004663_0.wav,10.52,0
00004663.wav,00004663_1.wav,17.85,1
00004662.wav,00004662_0.wav,28.33,0
00004664.wav,00004664_0.wav,28.49,0
00004665.wav,00004665_0.wav,28.45,0
00004666.wav,00004666_0.wav,7.7,0
00004666.wav,00004666_1.wav,20.56,1
00004668.wav,00004668_0.wav,28.35,0
00004670.wav,00004670_0.wav,28.47,0
00004669.wav,00004669_0.wav,28.47,0
00004671.wav,00004671_0.wav,28.24,0
00004673.wav,00004673_0.wav,28.25,0
00004672.wav,00004672_0.wav,14.99,0
00004672.wav,00004672_1.wav,13.16,1
00004676.wav,00004676_0.wav,28.47,0
00004675.wav,00004675_0.wav,28.45,0
00004677.wav,00004677_0.wav,21.09,0
00004677.wav,00004677_1.wav,7.23,1
00004678.wav,00004678_0.wav,28.48,0
00004682.wav,00004682_0.wav,28.39,0
00004683.wav,00004683_0.wav,15.1,0
00004683.wav,00004683_1.wav,7.55,1
00004679.wav,00004679_0.wav,28.48,0
00004684.wav,00004684_0.wav,28.5,0
00004688.wav,00004688_0.wav,16.66,0
00004688.wav,00004688_1.wav,4.53,1
00004685.wav,00004685_0.wav,28.49,0
00004691.wav,00004691_0.wav,21.73,0
00004686.wav,00004686_0.wav,28.32,0
00004692.wav,00004692_0.wav,18.7,0
00004690.wav,00004690_0.wav,14.57,0
00004690.wav,00004690_1.wav,13.82,1
00004689.wav,00004689_0.wav,28.38,0
00004695.wav,00004695_0.wav,17.27,0
00004694.wav,00004694_0.wav,28.48,0
00004693.wav,00004693_0.wav,9.39,0
00004693.wav,00004693_1.wav,18.8,1
00004701.wav,00004701_0.wav,13.71,0
00004696.wav,00004696_0.wav,21.07,0
00004696.wav,00004696_1.wav,7.17,1
00004699.wav,00004699_0.wav,18.14,0
00004699.wav,00004699_1.wav,10.28,1
00004700.wav,00004700_0.wav,28.5,0
00004697.wav,00004697_0.wav,27.38,0
00004698.wav,00004698_0.wav,11.32,0
00004698.wav,00004698_1.wav,16.84,1
00004703.wav,00004703_0.wav,28.49,0
00004707.wav,00004707_0.wav,23.34,0
00004706.wav,00004706_0.wav,18.91,0
00004704.wav,00004704_0.wav,27.86,0
00004709.wav,00004709_0.wav,28.47,0
00004710.wav,00004710_0.wav,28.46,0
00004713.wav,00004713_0.wav,10.99,0
00004713.wav,00004713_1.wav,10.94,1
00004712.wav,00004712_0.wav,28.49,0
00004714.wav,00004714_0.wav,8.64,0
00004714.wav,00004714_1.wav,7.23,1
00004714.wav,00004714_2.wav,9.39,2
00004715.wav,00004715_0.wav,9.75,0
00004715.wav,00004715_1.wav,15.42,1
00004716.wav,00004716_0.wav,11.25,0
00004716.wav,00004716_1.wav,11.69,1
00004718.wav,00004718_0.wav,26.2,0
00004720.wav,00004720_0.wav,10.1,0
00004720.wav,00004720_1.wav,13.84,1
00004720.wav,00004720_2.wav,4.31,2
00004717.wav,00004717_0.wav,14.11,0
00004717.wav,00004717_1.wav,14.17,1
00004723.wav,00004723_0.wav,17.28,0
00004722.wav,00004722_0.wav,27.0,0
00004725.wav,00004725_0.wav,8.86,0
00004725.wav,00004725_1.wav,7.25,1
00004725.wav,00004725_2.wav,8.43,2
00004724.wav,00004724_0.wav,20.08,0
00004724.wav,00004724_1.wav,8.34,1
00004727.wav,00004727_0.wav,12.79,0
00004727.wav,00004727_1.wav,6.19,1
00004730.wav,00004730_0.wav,16.12,0
00004730.wav,00004730_1.wav,6.02,1
00004726.wav,00004726_0.wav,10.94,0
00004726.wav,00004726_1.wav,10.95,1
00004726.wav,00004726_2.wav,4.95,2
00004734.wav,00004734_0.wav,10.58,0
00004734.wav,00004734_1.wav,8.55,1
00004731.wav,00004731_0.wav,7.64,0
00004731.wav,00004731_1.wav,11.92,1
00004731.wav,00004731_2.wav,6.77,2
00004735.wav,00004735_0.wav,13.37,0
00004735.wav,00004735_1.wav,9.1,1
00004732.wav,00004732_0.wav,14.64,0
00004732.wav,00004732_1.wav,11.36,1
00004733.wav,00004733_0.wav,15.96,0
00004733.wav,00004733_1.wav,12.48,1
00004736.wav,00004736_0.wav,19.16,0
00004736.wav,00004736_1.wav,8.47,1
00004737.wav,00004737_0.wav,7.66,0
00004737.wav,00004737_1.wav,13.62,1
00004737.wav,00004737_2.wav,6.68,2
00004738.wav,00004738_0.wav,16.61,0
00004738.wav,00004738_1.wav,7.06,1
00004739.wav,00004739_0.wav,16.74,0
00004739.wav,00004739_1.wav,6.89,1
00004743.wav,00004743_0.wav,14.04,0
00004743.wav,00004743_1.wav,5.43,1
00004745.wav,00004745_0.wav,13.87,0
00004745.wav,00004745_1.wav,4.09,1
00004742.wav,00004742_0.wav,14.44,0
00004742.wav,00004742_1.wav,11.29,1
00004741.wav,00004741_0.wav,11.78,0
00004741.wav,00004741_1.wav,13.94,1
00004746.wav,00004746_0.wav,18.21,0
00004744.wav,00004744_0.wav,12.71,0
00004744.wav,00004744_1.wav,5.65,1
00004744.wav,00004744_2.wav,9.83,2
00004747.wav,00004747_0.wav,11.49,0
00004747.wav,00004747_1.wav,11.8,1
00004748.wav,00004748_0.wav,13.96,0
00004748.wav,00004748_1.wav,8.7,1
00004751.wav,00004751_0.wav,9.85,0
00004751.wav,00004751_1.wav,7.99,1
00004750.wav,00004750_0.wav,17.46,0
00004749.wav,00004749_0.wav,6.17,0
00004749.wav,00004749_1.wav,11.43,1
00004749.wav,00004749_2.wav,6.61,2
00004752.wav,00004752_0.wav,5.62,0
00004752.wav,00004752_1.wav,13.65,1
00004752.wav,00004752_2.wav,5.84,2
00004753.wav,00004753_0.wav,7.92,0
00004753.wav,00004753_1.wav,14.18,1
00004755.wav,00004755_0.wav,17.76,0
00004754.wav,00004754_0.wav,14.05,0
00004754.wav,00004754_1.wav,9.34,1
00004758.wav,00004758_0.wav,11.42,0
00004758.wav,00004758_1.wav,5.79,1
00004757.wav,00004757_0.wav,17.6,0
00004757.wav,00004757_1.wav,10.76,1
00004759.wav,00004759_0.wav,19.78,0
00004759.wav,00004759_1.wav,6.76,1
00004760.wav,00004760_0.wav,12.83,0
00004760.wav,00004760_1.wav,10.72,1
00004761.wav,00004761_0.wav,10.85,0
00004761.wav,00004761_1.wav,10.23,1
00004763.wav,00004763_0.wav,13.04,0
00004763.wav,00004763_1.wav,6.36,1
00004764.wav,00004764_0.wav,15.57,0
00004764.wav,00004764_1.wav,8.31,1
00004765.wav,00004765_0.wav,4.56,0
00004765.wav,00004765_1.wav,16.4,1
00004762.wav,00004762_0.wav,13.87,0
00004762.wav,00004762_1.wav,12.51,1
00004770.wav,00004770_0.wav,17.8,0
00004767.wav,00004767_0.wav,12.8,0
00004767.wav,00004767_1.wav,5.89,1
00004766.wav,00004766_0.wav,13.77,0
00004766.wav,00004766_1.wav,9.22,1
00004769.wav,00004769_0.wav,13.41,0
00004769.wav,00004769_1.wav,9.7,1
00004771.wav,00004771_0.wav,8.06,0
00004771.wav,00004771_1.wav,10.05,1
00004771.wav,00004771_2.wav,9.1,2
00004773.wav,00004773_0.wav,11.06,0
00004773.wav,00004773_1.wav,10.87,1
00004775.wav,00004775_0.wav,13.26,0
00004775.wav,00004775_1.wav,4.14,1
00004772.wav,00004772_0.wav,23.05,0
00004772.wav,00004772_1.wav,4.6,1
00004774.wav,00004774_0.wav,24.02,0
00004778.wav,00004778_0.wav,15.97,0
00004778.wav,00004778_1.wav,4.66,1
00004776.wav,00004776_0.wav,12.73,0
00004776.wav,00004776_1.wav,11.45,1
00004777.wav,00004777_0.wav,28.15,0
00004779.wav,00004779_0.wav,9.89,0
00004779.wav,00004779_1.wav,7.74,1
00004779.wav,00004779_2.wav,9.05,2
00004781.wav,00004781_0.wav,11.22,0
00004781.wav,00004781_1.wav,13.39,1
00004782.wav,00004782_0.wav,28.46,0
00004780.wav,00004780_0.wav,11.93,0
00004780.wav,00004780_1.wav,13.16,1
00004783.wav,00004783_0.wav,23.52,0
00004784.wav,00004784_0.wav,10.45,0
00004784.wav,00004784_1.wav,14.2,1
00004789.wav,00004789_0.wav,13.71,0
00004789.wav,00004789_1.wav,6.86,1
00004787.wav,00004787_0.wav,7.41,0
00004787.wav,00004787_1.wav,9.66,1
00004787.wav,00004787_2.wav,11.31,2
00004788.wav,00004788_0.wav,14.07,0
00004788.wav,00004788_1.wav,12.45,1
00004791.wav,00004791_0.wav,12.1,0
00004791.wav,00004791_1.wav,10.41,1
00004792.wav,00004792_0.wav,14.43,0
00004792.wav,00004792_1.wav,8.53,1
00004795.wav,00004795_0.wav,14.01,0
00004794.wav,00004794_0.wav,14.75,0
00004794.wav,00004794_1.wav,7.53,1
00004793.wav,00004793_0.wav,14.84,0
00004793.wav,00004793_1.wav,8.04,1
00004796.wav,00004796_0.wav,21.8,0
00004797.wav,00004797_0.wav,28.44,0
00004798.wav,00004798_0.wav,28.49,0
00004800.wav,00004800_0.wav,28.47,0
00004799.wav,00004799_0.wav,28.45,0
00004802.wav,00004802_0.wav,28.5,0
00004803.wav,00004803_0.wav,22.47,0
00004804.wav,00004804_0.wav,18.21,0
00004801.wav,00004801_0.wav,28.36,0
00004810.wav,00004810_0.wav,16.71,0
00004806.wav,00004806_0.wav,28.17,0
00004805.wav,00004805_0.wav,28.33,0
00004813.wav,00004813_0.wav,18.54,0
