id,path,text_spt,text_original,ref_normalized,hyp_normalized,wer,sequence_similarity,duration,sentence_checked
336,00002426.wav,Chirchiqda portlash bo'lgandan keyin murojaat qilganmiz.,Oʻsha Chirchiqda portlash boʻlgandan keyin murojaat qilganmiz.,chirchiqda portlash bo'lgandan keyin murojaat qilganmiz,o'sha chirchiqda portlash bo'lgandan keyin murojaat qilganmiz,0.1667,0.9483,6.416,Quyi Chirchiqda portlash bo'lgandan keyin murojaat qilganmiz.
930,00007526.wav,"haqida ham biroz to'xtalib o'tsangiz. Xo'p, festival haqida gapiradigan bo'lsak, endi turli xil davlatlarda o'zbek oshxonasini","haqida ham biroz to'xtalib o'tsangiz. Ho'p, festival haqida gapiradigan bo'lsak, endi turli xil davlatlarda o'zbek oshxonasini",haqida ham biroz to'xtalib o'tsangiz xo'p festival haqida gapiradigan bo'lsak endi turli xil davlatlarda o'zbek oshxonasini,haqida ham biroz to'xtalib o'tsangiz ho'p festival haqida gapiradigan bo'lsak endi turli xil davlatlarda o'zbek oshxonasini,0.0625,0.9919,11.92,"haqida ham biroz to'xtalib o'tsangiz. Xo'p, festival haqida gapiradigan bo'lsak, endi turli xil davlatlarda o'zbek oshxonasini"
2244,00017730.wav,"Muhim inson sifatida meni ko'rishni xohlaganman. Shu asosiy sabab bo'lganmi? Men O'zbekistonni topa olmayman, men ketaman Britaniyada yo Yevropada yo boshqa joyda.","muhim inson sifatida meni ko'rishni xohlaganman. Shu asosiy sabab bo'lganmi? Men O'zbekistonda topa olmayman, men ketaman Britaniyada yo Yevropada yo boshqa joyda",muhim inson sifatida meni ko'rishni xohlaganman shu asosiy sabab bo'lganmi men o'zbekistonni topa olmayman men ketaman britaniyada yo yevropada yo boshqa joyda,muhim inson sifatida meni ko'rishni xohlaganman shu asosiy sabab bo'lganmi men o'zbekistonda topa olmayman men ketaman britaniyada yo yevropada yo boshqa joyda,0.0455,0.9874,13.9786875,"Muhim inson sifatida meni ko'rishni xohlaganman. Shu asosiy sabab bo'lganmi? Men O'zbekistonda topa olmayman, men ketaman Britaniyada yoki Yevropada yoki boshqa joyda."
636,00004875.wav,"Siz hokimiyat tomonidan chin yetimlarga uy olingan dedingiz. Aslida qanday bo'lganligini bir gaplashamizmi shu masalasi bo'yicha? Chin yetimlik, nogironlar anaqa, to'g'ri tushunsangiz, ha, ha, ha. Nima bo'lganligini shu yigitlar sotib olganligi qani?","Siz hokimiyat tomonidan chin yetimlarga uy olingan dedingiz. Aslida qanday bo'lganligini bir gaplashamizmi shu masalasi bo'yicha? Chin yetimlar... nogironlar anaqa to'g'risida ko'riksizmi? Ha, da, da, da. Nima bo'lganligini... shu yigitlar sotib olganligi qani?",siz hokimiyat tomonidan chin yetimlarga uy olingan dedingiz aslida qanday bo'lganligini bir gaplashamizmi shu masalasi bo'yicha chin yetimlik nogironlar anaqa to'g'ri tushunsangiz ha ha ha nima bo'lganligini shu yigitlar sotib olganligi qani,siz hokimiyat tomonidan chin yetimlarga uy olingan dedingiz aslida qanday bo'lganligini bir gaplashamizmi shu masalasi bo'yicha chin yetimlar nogironlar anaqa to'g'risida ko'riksizmi ha da da da nima bo'lganligini shu yigitlar sotib olganligi qani,0.1875,0.582,17.9926875,"Siz hokimiyat tomonidan chin yetimlarga uy olingan dedingiz. Aslida qanday bo'lganligini bir gaplashamizmi shu masalasi bo'yicha? Chin yetimlik, nogironlar anaqa, to'g'ri tushunsangiz, ha, ha, ha. Nima bo'lganligini shu yigitlar sotib olganligi qani?"
1455,00011360.wav,Sog'liqni saqlash vazirligini vazirini buyruqi bilan,"Sogʻliqni saqlash vazirligini vazirini buyruqi bilan, y-",sog'liqni saqlash vazirligini vazirini buyruqi bilan,sog'liqni saqlash vazirligini vazirini buyruqi bilan y-,0.1667,0.972,11.941375,Sog'liqni saqlash vazirligini vazirini buyruqi bilan
1851,00014809.wav,"sifatida O'zbekistonni bir qandaydir yaxshi ko'rish va shu kelib ishlagandan keyin O'zbekiston bir fuqarosiga, O'zbekiston farzandiga aylanib keta oladigan bir murabbiy bo'lishi kerak edi. Albatta, biz ko'p murabbiylarni tahlil qilganimizda, ular faqat o'sha","sifatida Oʻzbekistonni bir qandaydir yaxshi koʻrish va shu kelgan ishlagandan keyin Oʻzbekiston bir fuqarosiga, Oʻzbekiston farzandiga aylanib keta oladigan bir murabbiy boʻlishi kerak edi. Albatta, biz koʻp murabbiylarni tahlil qilganimizda, ular faqat oʻsha",sifatida o'zbekistonni bir qandaydir yaxshi ko'rish va shu kelib ishlagandan keyin o'zbekiston bir fuqarosiga o'zbekiston farzandiga aylanib keta oladigan bir murabbiy bo'lishi kerak edi albatta biz ko'p murabbiylarni tahlil qilganimizda ular faqat o'sha,sifatida o'zbekistonni bir qandaydir yaxshi ko'rish va shu kelgan ishlagandan keyin o'zbekiston bir fuqarosiga o'zbekiston farzandiga aylanib keta oladigan bir murabbiy bo'lishi kerak edi albatta biz ko'p murabbiylarni tahlil qilganimizda ular faqat o'sha,0.0303,0.9902,19.8666875,"sifatida O'zbekistonni bir qandaydir yaxshi ko'rish va shu kelib ishlagandan keyin O'zbekiston bir fuqarosiga, O'zbekiston farzandiga aylanib keta oladigan bir murabbiy bo'lishi kerak edi. Albatta, biz ko'p murabbiylarni tahlil qilganimizda, ular faqat o'sha"
1943,00015442.wav,"Maslov piramidasi bo'yicha yuqori ehtiyojlar haqida gapirmayapman, dastlabki bosqichdagi ehtiyojlar haqida gapiryapman. Endi tasavvur qilaylik, ikki barobar kamaytirdik, o'sha aytilayotgan 4 million dollar doiraga tushirdik. Ularni turmush darajasi","Maslo piramidasi boʻyicha yuqori ehtiyojlar haqida gapirmayapman. Dastlabki bosqichdagi ehtiyojlar haqida gapiryapman. Endi tasavvur qilaylik, ikki barobar kamaytirdik, oʻsha aytilayotgan 4 million doiraga tushirdik. Ularni turmush darajasi",maslov piramidasi bo'yicha yuqori ehtiyojlar haqida gapirmayapman dastlabki bosqichdagi ehtiyojlar haqida gapiryapman endi tasavvur qilaylik ikki barobar kamaytirdik o'sha aytilayotgan to'rt million dollar doiraga tushirdik ularni turmush darajasi,maslo piramidasi bo'yicha yuqori ehtiyojlar haqida gapirmayapman dastlabki bosqichdagi ehtiyojlar haqida gapiryapman endi tasavvur qilaylik ikki barobar kamaytirdik o'sha aytilayotgan to'rt million doiraga tushirdik ularni turmush darajasi,0.0714,0.9835,14.992,"Maslov piramidasi bo'yicha yuqori ehtiyojlar haqida gapirmayapman, dastlabki bosqichdagi ehtiyojlar haqida gapiryapman. Endi tasavvur qilaylik, ikki barobar kamaytirdik, o'sha aytilayotgan 4 million dollar doiraga tushirdik. Ularni turmush darajasi"
1877,00014999.wav,qonuniy muammosiga chek qo'yilgan tamaki mahsulotlarini majburiy tarzda yo'q qilish tashlash belgilangan.,noqonuniy muomalasiga chek qo'yilgan tamaki mahsulotlarini majburiy tarzda yo'q qilish tashlash belgilangan.,qonuniy muammosiga chek qo'yilgan tamaki mahsulotlarini majburiy tarzda yo'q qilish tashlash belgilangan,noqonuniy muomalasiga chek qo'yilgan tamaki mahsulotlarini majburiy tarzda yo'q qilish tashlash belgilangan,0.1667,0.9573,8.1546875,noqonuniy muomalasiga chek qo'yilgan tamaki mahsulotlarini majburiy tarzda yo'q qilib tashlash belgilangan.
1093,00008674.wav,"Prezidentning jamoat va diniy tashkilotlar bilan hamkorlik masalalari bo'yicha maslahatchisi Muzaffar Komilov qalampir.uz bilan suhbatda aynan pedofillar masalasiga to'xtalar ekan, bu jinoyatni sodir etganlarga eng og'ir jazo berish kerakligini ta'kidladi. Bu fojia bu.","Prezidentning jamoat va diniy tashkilotlar bilan hamkorlik masalalari boʻyicha maslahatchisi Muzaffar Komilov Qalampir uz bilan suhbatda aynan pedofillar masalasiga toʻxtalar ekan, bu jinoyatni sodir etganlarga eng ogʻir jazo berish kerakligini taʼkidladi. Bu fojea bu.",prezidentning jamoat va diniy tashkilotlar bilan hamkorlik masalalari bo'yicha maslahatchisi muzaffar komilov qalampiruz bilan suhbatda aynan pedofillar masalasiga to'xtalar ekan bu jinoyatni sodir etganlarga eng og'ir jazo berish kerakligini ta'kidladi bu fojia bu,prezidentning jamoat va diniy tashkilotlar bilan hamkorlik masalalari bo'yicha maslahatchisi muzaffar komilov qalampir uz bilan suhbatda aynan pedofillar masalasiga to'xtalar ekan bu jinoyatni sodir etganlarga eng og'ir jazo berish kerakligini ta'kidladi bu fojea bu,0.0909,0.9793,19.6426875,"Prezidentning jamoat va diniy tashkilotlar bilan hamkorlik masalalari bo'yicha maslahatchisi Muzaffar Komilov Qalampir uz bilan suhbatda aynan pedofillar masalasiga to'xtalar ekan, bu jinoyatni sodir etganlarga eng og'ir jazo berish kerakligini ta'kidladi. Bu fojia bu."
1235,00009818.wav,"Buni yana bir surishtirib chiqib aytyapmizki, ayni paytda buni biz majburligi bo'yicha bir asosini ko'rmayapmiz. Shu bois bu tavsiyaviy deb men hisoblayman.","e buni yana bir surishtirib chiqib aytyapmizki, ayni paytda buni biz majburiyligi boʻyicha bir asosini koʻrmayapmiz. Shu bois bu tavsiyaviy deb men hisoblayman.",buni yana bir surishtirib chiqib aytyapmizki ayni paytda buni biz majburligi bo'yicha bir asosini ko'rmayapmiz shu bois bu tavsiyaviy deb men hisoblayman,e buni yana bir surishtirib chiqib aytyapmizki ayni paytda buni biz majburiyligi bo'yicha bir asosini ko'rmayapmiz shu bois bu tavsiyaviy deb men hisoblayman,0.0909,0.9871,12.1546875,"Buni yana bir surishtirib chiqib aytyapmizki, ayni paytda buni biz majburiyligi bo'yicha bir asosni ko'rmayapmiz. Shu bois bu tavsiyaviy deb men hisoblayman."
1176,00009338.wav,"Storiesdan ham yaxshi daromad qilsa bo'ladi. To'g'risini aytganda, storiesda aktiv bo'ling. Yana bir odamlarni kommentariyada yozgan savollariga javob bering.","storieslardan ham yaxshi daromad qilsa bo'ladi. To'g'risini aytganda. Storiesda aktiv bo'ling. Yana bir, odamlarni kommentariyada yozgan savollarga javob bering. Endi",storiesdan ham yaxshi daromad qilsa bo'ladi to'g'risini aytganda storiesda aktiv bo'ling yana bir odamlarni kommentariyada yozgan savollariga javob bering,storieslardan ham yaxshi daromad qilsa bo'ladi to'g'risini aytganda storiesda aktiv bo'ling yana bir odamlarni kommentariyada yozgan savollarga javob bering endi,0.1579,0.9714,11.982,"Storiesdan ham yaxshi daromad qilsa bo'ladi. To'g'risini aytganda, storiesda aktiv bo'ling. Yana bir odamlarni kommentariyada yozgan savollariga javob bering."
2388,00018801.wav,"Keyin Rossiyada Il-96 samolyotlari parvozi bir muddat taqiqlanadi. Finlandiyadagi samolyotni Rossiyaga qaytarib olib kelish uchun Rossiyada Il-96 ning tormoz tizimi tayyorlanadi. So'ng ehtiyot qismlar Finlandiyaga olib borilib, samolyot tuzatiladi va Rossiyaga olib kelinadi.","Keyin Rossiyada IL 96 samolyotlari parvozi bir muddat taqiqlanadi. Finlandiyadagi samolyotni Rossiyaga qaytarib olib kelish uchun Rossiyada IL 96 ning tormoz tizimi tayyorlanadi. Soʻng ehtiyot qismlar Finlandiyaga olib borilib, samolyot tuzatiladi va Rossiyaga olib kelinadi.",keyin rossiyada il-to'qson olti samolyotlari parvozi bir muddat taqiqlanadi finlandiyadagi samolyotni rossiyaga qaytarib olib kelish uchun rossiyada il-to'qson olti ning tormoz tizimi tayyorlanadi so'ng ehtiyot qismlar finlandiyaga olib borilib samolyot tuzatiladi va rossiyaga olib kelinadi,keyin rossiyada il to'qson olti samolyotlari parvozi bir muddat taqiqlanadi finlandiyadagi samolyotni rossiyaga qaytarib olib kelish uchun rossiyada il to'qson olti ning tormoz tizimi tayyorlanadi so'ng ehtiyot qismlar finlandiyaga olib borilib samolyot tuzatiladi va rossiyaga olib kelinadi,0.1143,0.9931,19.8666875,"Keyin Rossiyada Il-96 samolyotlari parvozi bir muddat taqiqlanadi. Finlandiyadagi samolyotni Rossiyaga qaytarib olib kelish uchun Rossiyada Il-96 ning tormoz tizimi tayyorlanadi. So'ng ehtiyot qismlar Finlandiyaga olib borilib, samolyot tuzatiladi va Rossiyaga olib kelinadi."
908,00007376.wav,ijtimoiy tarmoqlar bo'limida forumlar orqali va hokazo va hokazo va natijada 2017 yil amalga oshdi. Ya'ni yetti yil mobaynida turli xil eshiklar taqillatildi.,"larda ijtimoiy tarmoqlar bo'lmasida, forumlar orqali va hokazo va hokazo. Va natijada 2017-yil amalga oshdi. Ya'ni yetti yil mobaynida turli xil eshiklar taqillatildi.",ijtimoiy tarmoqlar bo'limida forumlar orqali va hokazo va hokazo va natijada ikki ming o'n yetti yil amalga oshdi ya'ni yetti yil mobaynida turli xil eshiklar taqillatildi,larda ijtimoiy tarmoqlar bo'lmasida forumlar orqali va hokazo va hokazo va natijada ikki ming o'n yettinchi yil amalga oshdi ya'ni yetti yil mobaynida turli xil eshiklar taqillatildi,0.1154,0.9632,14.5546875,ijtimoiy tarmoqlar bo'lmasida forumlar orqali va hokazo va hokazo va natijada 2017 yil amalga oshdi. Ya'ni yetti yil mobaynida turli xil eshiklar taqillatildi.
32,00000189.wav,"Bizni hali kelajakda ham juda ham ko'p uzoq vaqt foydasi bizga juda ham katta. Lekin shu bilan birgalikda o'sha antibiotiklarni ham o'ziga yarasha juda katta salbiy ta'sirlari bor. Uni es-yodimizdan chiqarish kerak emas. Endi, masalan, men",bizni hali kelajakda ham judayam koʻp uzoq vaqt foydasi bizga judayam katta. Lekin shu bilan birgalikda oʻsha antibiotiklarni ham oʻziga yarasha juda katta salbiy taʼsirlari bor. Uni yodimizdan chiqarish kerak emas. Endi masalan men,bizni hali kelajakda ham juda ham ko'p uzoq vaqt foydasi bizga juda ham katta lekin shu bilan birgalikda o'sha antibiotiklarni ham o'ziga yarasha juda katta salbiy ta'sirlari bor uni es-yodimizdan chiqarish kerak emas endi masalan men,bizni hali kelajakda ham judayam ko'p uzoq vaqt foydasi bizga judayam katta lekin shu bilan birgalikda o'sha antibiotiklarni ham o'ziga yarasha juda katta salbiy ta'sirlari bor uni yodimizdan chiqarish kerak emas endi masalan men,0.1389,0.9806,16.485375,"Bizni hali kelajakda ham juda ham ko'p uzoq vaqt foydasi bizga juda ham katta. Lekin shu bilan birgalikda o'sha antibiotiklarni ham o'ziga yarasha juda katta salbiy ta'sirlari bor. Uni yodimizdan chiqarish kerak emas. Endi, masalan, men"
845,00006789.wav,"Assalomu alaykum hurmatli hay'at a'zolari, prokuror, hamkasblar va sud ishtirokchilari. Biz vafot etgan bolalarni ota-onalarini har biriga","Assalomu alaykum, hurmatli sud hayati a'zolari, prokuror, hamkasblar va sud ishtirokchilari. Biz vafot etgan bolalarni, ota-onalarini har biriga",assalomu alaykum hurmatli hay'at a'zolari prokuror hamkasblar va sud ishtirokchilari biz vafot etgan bolalarni ota-onalarini har biriga,assalomu alaykum hurmatli sud hayati a'zolari prokuror hamkasblar va sud ishtirokchilari biz vafot etgan bolalarni ota-onalarini har biriga,0.1176,0.9781,16.9866875,"Assalomu alaykum hurmatli sud hay'at a'zolari, prokuror, hamkasblar va sud ishtirokchilari. Biz vafot etgan bolalarni ota-onalarini har biriga"
73,00000409.wav,"Sekin-sekin o'rganib, o'sha aytganimdek karyera deganda qanaqadir","sekin-sekin o'rganib, o'sha aytganimdek karyera deganda qanaqadir",sekin-sekin o'rganib o'sha aytganimdek kar'yera deganda qanaqadir,sekin-sekin o'rganib o'sha aytganimdek karyera deganda qanaqadir,0.1429,0.9922,6.832,"Sekin-sekin o'rganib, o'sha aytganimdek karyera deganda qanaqadir"
98,00000574.wav,"yangi narsalar e'lon qilingan payti qo'llab-quvvatlashni menimcha hammamiz qilishimiz kerak deb o'ylayman. Albatta, qo'llab-quvvatlaymiz. Albatta, bu bilimni bolalarini","yangi narsalar e'lon qilingan paytda, qo'llab-quvvatlashni, menimcha hammamiz qilishimiz kerak deb o'ylayman. Muza... Albatta, qo'llab-quvvatlaymiz. Albatta, bu bilimda bolalarini",yangi narsalar e'lon qilingan payti qo'llab-quvvatlashni menimcha hammamiz qilishimiz kerak deb o'ylayman albatta qo'llab-quvvatlaymiz albatta bu bilimni bolalarini,yangi narsalar e'lon qilingan paytda qo'llab-quvvatlashni menimcha hammamiz qilishimiz kerak deb o'ylayman muza albatta qo'llab-quvvatlaymiz albatta bu bilimda bolalarini,0.1667,0.9641,13.424,"yangi narsalar e'lon qilingan paytda qo'llab-quvvatlashni menimcha hammamiz qilishimiz kerak deb o'ylayman. Albatta, qo'llab-quvvatlaymiz. Albatta, bu bilimni bolalarini"
