id,client_id,path,sentence_id,up_votes,down_votes,age,gender,type,duration,word_count,speaker_trust_score,sentence,predicted_sentence,ref_normalized,hyp_normalized,wer,cer,sequence_similarity,ref_word_count,hyp_word_count,path_wav,sentence_checked
553,fdc71255d89ec313fff9d67325ed234728ec1b72eb783bafe3408c360bbc9e9934f2bd8bb22c2e2e733ab4e3295b9857ee22ec577e949625d8a2247ec8715a3f,common_voice_uz_30144935.mp3,ba70ab7536481e008a731225995edb7403d8cb725fc0998c091fb0323e0bdd22,0,1,twenties,male_masculine,other,8.856,13,0.8382,"Brokkolini ratsionga kiritish insult, yurak-qon tomir kasalliklari va gipertoniya xavfini sezilarli darajada kamaytiradi","Brokkolini ratsioniga kiritish insult, yurak-qon tomir kasalliklari va gipertoniya xavfini sezilarli darajada kamaytiradi.",brokkolini ratsionga kiritish insult yurak-qon tomir kasalliklari va gipertoniya xavfini sezilarli darajada kamaytiradi,brokkolini ratsioniga kiritish insult yurak-qon tomir kasalliklari va gipertoniya xavfini sezilarli darajada kamaytiradi,0.0769,0.0084,0.9958,13,13,common_voice_uz_30144935.wav,"Brokkolini ratsionga kiritish insult, yurak-qon tomir kasalliklari va gipertoniya xavfini sezilarli darajada kamaytiradi"
2779,9e54bcd07750a37b830fa3a0f1cde016751c115f9af5968b77f6b5f714a0e5a58db3ddd3b8be78cedb2c9b1f4f1d1ecccdcd5df6a14c46ba0e5c5ad7ab6399bf,common_voice_uz_33336663.mp3,6b584953cbd7b2c23178aa2fa65fed9d9c2aa3c3c2c7edfb3de4f2fc118b960e,0,0,twenties,male_masculine,other,10.008,11,0.8382,Orolbo'yini ekologik innovatsiyalar va texnologiyalar hududiga aylantiramiz mavzusida xalqaro konferensiyasi o'tkazildi,Orol bo'yini ekologik innovatsiyalar va texnologiyalar hududiga aylantiramiz mavzusida xalqaro konferensiyasi o'tkazildi.,orolbo'yini ekologik innovatsiyalar va texnologiyalar hududiga aylantiramiz mavzusida xalqaro konferensiyasi o'tkazildi,orol bo'yini ekologik innovatsiyalar va texnologiyalar hududiga aylantiramiz mavzusida xalqaro konferensiyasi o'tkazildi,0.1818,0.0084,0.9958,11,12,common_voice_uz_33336663.wav,Orolbo'yini ekologik innovatsiyalar va texnologiyalar hududiga aylantiramiz mavzusida xalqaro konferensiyasi o'tkazildi
573,fdc71255d89ec313fff9d67325ed234728ec1b72eb783bafe3408c360bbc9e9934f2bd8bb22c2e2e733ab4e3295b9857ee22ec577e949625d8a2247ec8715a3f,common_voice_uz_30152518.mp3,ca3679b77fd6213d8b0f68e1b816cc7f70d96bd13af8ac8507b1958c721042ec,0,1,twenties,male_masculine,other,9.036,12,0.8382,"Bloggerlarni, umuman olganda, internet nashrlarining mashhurligi bilan izohlash mumkin ularning aksariyati jurnalistlar","Blogerlarni umuman olganda, internet nashrlarining mashhurligi bilan izohlash mumkin. Ularning aksariyati jurnalistlar.",bloggerlarni umuman olganda internet nashrlarining mashhurligi bilan izohlash mumkin ularning aksariyati jurnalistlar,blogerlarni umuman olganda internet nashrlarining mashhurligi bilan izohlash mumkin ularning aksariyati jurnalistlar,0.0833,0.0085,0.9957,12,12,common_voice_uz_30152518.wav,"Blogerlarni, umuman olganda, internet nashrlarining mashhurligi bilan izohlash mumkin ularning aksariyati jurnalistlar"
347,bc69c744bf0f8464394b0554f6d87cc8e1bb9286bf3d13bf8492d0b48c3da997198a0f90a9fb9d7390d2bde284907bf6750dca97b9cd2d1195f51874358d334d,common_voice_uz_30035944.mp3,96d16a9cbd3eb15a3060337b5eda11bf31453131c863e48232aef103e3fe9557,1,0,teens,male_masculine,other,8.28,13,0.7333,"Jahon amaliyotida amaldorlar va ularning qarindoshlari daromadlari, xarajatlari va mol -mulkini deklaratsiyalashi shart","Jahon amaliyotida amaldorlar va ularning qarindoshlari daromadlari, xarajatlari va mol-mulkini deklaratsiyalashi shart.",jahon amaliyotida amaldorlar va ularning qarindoshlari daromadlari xarajatlari va mol -mulkini deklaratsiyalashi shart,jahon amaliyotida amaldorlar va ularning qarindoshlari daromadlari xarajatlari va mol-mulkini deklaratsiyalashi shart,0.1538,0.0085,0.9957,13,12,common_voice_uz_30035944.wav,"Jahon amaliyotida amaldorlar va ularning qarindoshlari daromadlari, xarajatlari va mol-mulkini deklaratsiyalashi shart"
2319,d5afa0263b524151139dee133feb9672646805639410d1fc9fee655ba9d68d1d7fd2a035bea4f984303192215988b3073af6eca98ea7ff55636ced167f79d89d,common_voice_uz_32155358.mp3,52a250386878ea1c397627184b652145d89c556c8f24992907c86a9af6c36a63,1,0,thirties,male_masculine,other,8.46,14,0.7302,Maktabgacha ta'lim vazirligining Ichki audit xizmati bir yil davomida o'tkazilgan tekshiruv natijalarni e'lon qildi.,Maktabgacha ta'lim vazirligining ichki audit xizmati bir yil davomida o'tkazilgan tekshiruv natijalarini e'lon qildi.,maktabgacha ta'lim vazirligining ichki audit xizmati bir yil davomida o'tkazilgan tekshiruv natijalarni e'lon qildi,maktabgacha ta'lim vazirligining ichki audit xizmati bir yil davomida o'tkazilgan tekshiruv natijalarini e'lon qildi,0.0714,0.0087,0.9957,14,14,common_voice_uz_32155358.wav,Maktabgacha ta'lim vazirligining Ichki audit xizmati bir yil davomida o'tkazilgan tekshiruv natijalarini e'lon qildi.
2952,a50c22ecaa6824e52671ae30dc669014e64bad0e6bebf4ca86c48ec4ca0c7f1f0b73324f5c98152ce48316d81ad16b20d1d71e82821ee285b550d8fbd11b33f6,common_voice_uz_33736873.mp3,765c4c571cca817f98fcfd14cfa24547e4d26d44bf43934474f7910747bf6cf9,0,0,twenties,male_masculine,other,8.64,13,0.8241,"Ma'lumotlarga ko'ra, onlayn auksionda faqat ba'zi tipidagi avtoraqamlar oshirilgan to'lov stavkalari bo'yicha sotiladi.","Ma'lumotlarga ko'ra, onlayn auksionda faqat ba'zi tipdagi avtoraqamlar oshirilgan to'lov stavkalari bo'yicha sotiladi.",ma'lumotlarga ko'ra onlayn auksionda faqat ba'zi tipidagi avtoraqamlar oshirilgan to'lov stavkalari bo'yicha sotiladi,ma'lumotlarga ko'ra onlayn auksionda faqat ba'zi tipdagi avtoraqamlar oshirilgan to'lov stavkalari bo'yicha sotiladi,0.0769,0.0085,0.9957,13,13,common_voice_uz_33736873.wav,"Ma'lumotlarga ko'ra, onlayn auksionda faqat ba'zi tipdagi avtoraqamlar oshirilgan to'lov stavkalari bo'yicha sotiladi."
607,c17b4d5584046295518293197a75c3da917843649e63ae5364527bc62d43cf6c0d2681e01139a483ea04b70a1fce229e808f5d0c6c788261ee92ddb50ed4fd42,common_voice_uz_30157825.mp3,d19a2bff152453e5bf05b0375e47c1085e2878cbf868dd6bfa91b21950ca35c9,1,0,,,other,8.46,13,0.7959,"U noxush vaziyatlarga qarshi norozilik, isyon, ko'ngilsizliklarni aritish, hayot mazmunini qidirish vositasiga aylandi","U noxush vaziyatlarga qarshi norozilik isyoni, ko'ngilsizliklarni aritish, hayot mazmunini qidirish vositasiga aylandi.",u noxush vaziyatlarga qarshi norozilik isyon ko'ngilsizliklarni aritish hayot mazmunini qidirish vositasiga aylandi,u noxush vaziyatlarga qarshi norozilik isyoni ko'ngilsizliklarni aritish hayot mazmunini qidirish vositasiga aylandi,0.0769,0.0087,0.9957,13,13,common_voice_uz_30157825.wav,"U noxush vaziyatlarga qarshi norozilik, isyon, ko'ngilsizliklarni aritish, hayot mazmunini qidirish vositasiga aylandi"
503,c17b4d5584046295518293197a75c3da917843649e63ae5364527bc62d43cf6c0d2681e01139a483ea04b70a1fce229e808f5d0c6c788261ee92ddb50ed4fd42,common_voice_uz_30094850.mp3,b4f01d5fae2d071474e1f10429dfbe7c55e266a0fc2b444e65da4462fb71eefe,0,0,,,other,10.08,13,0.7959,"Biroq, barcha xalqlar qatori o'zimizning ijobiy xislatlarimiz bilan biz unikalmiz, inson sivilizatsiyasining boyligimiz.","Biroq barcha xalqlar qatori o'zimizning ijobiy xislatlarimiz bilan biz unikamiz, inson sivilizatsiyasining boyligimiz.",biroq barcha xalqlar qatori o'zimizning ijobiy xislatlarimiz bilan biz unikalmiz inson sivilizatsiyasining boyligimiz,biroq barcha xalqlar qatori o'zimizning ijobiy xislatlarimiz bilan biz unikamiz inson sivilizatsiyasining boyligimiz,0.0769,0.0085,0.9957,13,13,common_voice_uz_30094850.wav,"Biroq, barcha xalqlar qatori o'zimizning ijobiy xislatlarimiz bilan biz unikalmiz, inson sivilizatsiyasining boyligimiz."
903,2893c4bc47bf5dd74be7cd1d0f92d5bb97447bb8bcf5a4783def8ef643ff90addb5798aeaed58c0cf2ecd64bbcef3460d5d374fb793869e6937c977830c0aa6b,common_voice_uz_30263370.mp3,635db73573416f5ce65c49132b398d4a86e58579aff60dd0b8814230cc92a27c,1,1,teens,male_masculine,other,9.036,13,0.7708,"Unutilgan yulduzlar yerga o'tkir nigohlarini qadagan, to'kilgan barglar Katerina Petrovnaning yurishiga xalal berardi.","Unutilgan yulduzlar yerga o'tkir nigohlarini qadagan, to'kilgan barglar Katrina Petrovnaning yurishiga xalal berardi.",unutilgan yulduzlar yerga o'tkir nigohlarini qadagan to'kilgan barglar katerina petrovnaning yurishiga xalal berardi,unutilgan yulduzlar yerga o'tkir nigohlarini qadagan to'kilgan barglar katrina petrovnaning yurishiga xalal berardi,0.0769,0.0086,0.9957,13,13,common_voice_uz_30263370.wav,"Unutilgan yulduzlar yerga o'tkir nigohlarini qadagan, to'kilgan barglar Katerina Petrovnaning yurishiga xalal berardi."
3362,bd78ebd2c6242ceb4521dddf551be725a08a37ffaf894b5b00920c4812d93393074f26f5b407fc44fb8ecbca6b4c8b851f96adc7d833ef2c4d31a9ecc15d9c31,common_voice_uz_36853013.mp3,8d01629b6a866c7601fd6e0f3c83e6d1a8f7e011ab0cd07425779367b6f103c7,0,0,twenties,male_masculine,other,8.28,14,0.8894,"Shuning uchun falsafamiz, tarixshunosligimiz boshqa barcha ijtimoiy fanlarimiz jahon ilmidan juda orqada qolib ketgan.","Shuning uchun falsafamiz, tarixshunosligimiz, boshqa barcha ijtimoiy fanlarimiz jahon ilmida juda orqada qolib ketgan.",shuning uchun falsafamiz tarixshunosligimiz boshqa barcha ijtimoiy fanlarimiz jahon ilmidan juda orqada qolib ketgan,shuning uchun falsafamiz tarixshunosligimiz boshqa barcha ijtimoiy fanlarimiz jahon ilmida juda orqada qolib ketgan,0.0714,0.0086,0.9957,14,14,common_voice_uz_36853013.wav,"Shuning uchun falsafamiz, tarixshunosligimiz boshqa barcha ijtimoiy fanlarimiz jahon ilmidan juda orqada qolib ketgan."
319,c17b4d5584046295518293197a75c3da917843649e63ae5364527bc62d43cf6c0d2681e01139a483ea04b70a1fce229e808f5d0c6c788261ee92ddb50ed4fd42,common_voice_uz_30020588.mp3,919535ce395fa81922e522a99aa9f64fe201fd4c43acb5d865e1ffafb75320c1,1,0,,,other,8.136,13,0.7959,"Oxiratda faqat imoningiz, dunyoda qilgan solih amallaringiz, ortingizda qolganlarning duo va istig'forlari asqatadi.","Oxiratda faqat imoningiz, dunyoda qilgan solih amallaringiz, ortingizda qolganlaring duo va istig'forlari asqatadi.",oxiratda faqat imoningiz dunyoda qilgan solih amallaringiz ortingizda qolganlarning duo va istig'forlari asqatadi,oxiratda faqat imoningiz dunyoda qilgan solih amallaringiz ortingizda qolganlaring duo va istig'forlari asqatadi,0.0769,0.0088,0.9956,13,13,common_voice_uz_30020588.wav,"Oxiratda faqat imoningiz, dunyoda qilgan solih amallaringiz, ortingizda qolganlarning duo va istig'forlari asqatadi."
886,bc69c744bf0f8464394b0554f6d87cc8e1bb9286bf3d13bf8492d0b48c3da997198a0f90a9fb9d7390d2bde284907bf6750dca97b9cd2d1195f51874358d334d,common_voice_uz_30259211.mp3,71d03bfe222148574178cb37e82f52da0eb2d604dbdee4f0155ec65f2086cd37,0,0,teens,male_masculine,other,9.576,13,0.7333,"Ammo yuragida qotib qolgan iztirobni yillar davolarmikan, dunyoning barcha onalariga qadalgan nafrati susayarmikan",Ammo yuragida qotib qolgan iztirobni yillar davolarmikan? Dunyoning barcha onalariga qadalgan nafrat susayarmikan?,ammo yuragida qotib qolgan iztirobni yillar davolarmikan dunyoning barcha onalariga qadalgan nafrati susayarmikan,ammo yuragida qotib qolgan iztirobni yillar davolarmikan dunyoning barcha onalariga qadalgan nafrat susayarmikan,0.0769,0.0088,0.9956,13,13,common_voice_uz_30259211.wav,"Ammo yuragida qotib qolgan iztirobni yillar davolarmikan, dunyoning barcha onalariga qadalgan nafrati susayarmikan"
529,30fd02023d452dbd8d83510cf487aabca11a7138c6245bf13db730dfd6e9f71e9f3ce9c7e690f730dcbd1ab281acd9b201a2a71b0dc81eac3c63620d7f79f993,common_voice_uz_30134297.mp3,b9c5a9e691b6bfcaa0826602fce7e705a4532a41c776a1581791dfc90c2924bb,0,0,twenties,female_feminine,other,9.036,13,0.8815,Ijtimoiy tarmoqlarda bemorning deltasimon mushagidan bir metall parchasi chiqarib olinish jarayoni namoyish qilindi,Ijtimoiy tarmoqlarda bemorning deltasimon mushagidan bir metal parchasi chiqarib olinish jarayoni namoyish qilindi.,ijtimoiy tarmoqlarda bemorning deltasimon mushagidan bir metall parchasi chiqarib olinish jarayoni namoyish qilindi,ijtimoiy tarmoqlarda bemorning deltasimon mushagidan bir metal parchasi chiqarib olinish jarayoni namoyish qilindi,0.0769,0.0087,0.9956,13,13,common_voice_uz_30134297.wav,Ijtimoiy tarmoqlarda bemorning deltasimon mushagidan bir metall parchasi chiqarib olinish jarayoni namoyish qilindi
2348,c964b9cea01c2158a80c5646df2b6e8014516abec7ade67cf8351ff7711ee5a9b4ad961e54b87c906b2eb08a6adc21e11e9aeeec5e599d9aa60d45950ed70c72,common_voice_uz_32169169.mp3,566313c731528ca6bcc1e905bc1ddc10327790dd0060b2d13a437fd223e24a47,0,0,,,other,8.748,14,0.4902,Ijtimoiy himoyaga muhtoj ayrim toifadagi fuqarolar nafaqa tayinlashda faqat pasport bilan murojaat qilishi kifoya,Ijtimoiy himoyaga muhtoj ayrim toifadagi fuqarolar nafaqa tayinlashda faqat pasport bilan murojaat qilish kifoya.,ijtimoiy himoyaga muhtoj ayrim toifadagi fuqarolar nafaqa tayinlashda faqat pasport bilan murojaat qilishi kifoya,ijtimoiy himoyaga muhtoj ayrim toifadagi fuqarolar nafaqa tayinlashda faqat pasport bilan murojaat qilish kifoya,0.0714,0.0088,0.9956,14,14,common_voice_uz_32169169.wav,Ijtimoiy himoyaga muhtoj ayrim toifadagi fuqarolar nafaqa tayinlashda faqat pasport bilan murojaat qilish kifoya
336,30fd02023d452dbd8d83510cf487aabca11a7138c6245bf13db730dfd6e9f71e9f3ce9c7e690f730dcbd1ab281acd9b201a2a71b0dc81eac3c63620d7f79f993,common_voice_uz_30027024.mp3,99a60583175200f10fe6ea1630e1a2abdfaf6bc53c30ea58b6f5c5d3821b95f1,1,0,twenties,female_feminine,other,8.208,12,0.8815,O'zbekistonda moddiy madaniy meros obyektlariga zarar yetkazgan shaxslarga nisbatan jazo choralari kuchaytiriladi,O'zbekistonda moddiy madaniy meros ob'yektlariga zarar yetkazgan shaxslarga nisbatan jazo choralari kuchaytiriladi.,o'zbekistonda moddiy madaniy meros obyektlariga zarar yetkazgan shaxslarga nisbatan jazo choralari kuchaytiriladi,o'zbekistonda moddiy madaniy meros ob'yektlariga zarar yetkazgan shaxslarga nisbatan jazo choralari kuchaytiriladi,0.0833,0.0088,0.9956,12,12,common_voice_uz_30027024.wav,O'zbekistonda moddiy madaniy meros obyektlariga zarar yetkazgan shaxslarga nisbatan jazo choralari kuchaytiriladi
124,30fd02023d452dbd8d83510cf487aabca11a7138c6245bf13db730dfd6e9f71e9f3ce9c7e690f730dcbd1ab281acd9b201a2a71b0dc81eac3c63620d7f79f993,common_voice_uz_29187188.mp3,cc9f296df8f8018e30d9608fff471c7d15c99db0be855e5b347d3586d647c2f0,0,0,twenties,female_feminine,other,9.54,11,0.8815,"Universitetda o'qib yurgan paytlarimdanoq turli davlatlarga sayohatlar, talabalar konferensiyalariga borib turardim.","Universitetda o'qib yurgan paytlarimdan oq turli davlatlarga sayohatlar, talabalar konferensiyalariga borib turardim.",universitetda o'qib yurgan paytlarimdanoq turli davlatlarga sayohatlar talabalar konferensiyalariga borib turardim,universitetda o'qib yurgan paytlarimdan oq turli davlatlarga sayohatlar talabalar konferensiyalariga borib turardim,0.1818,0.0088,0.9956,11,12,common_voice_uz_29187188.wav,"Universitetda o'qib yurgan paytlarimdanoq turli davlatlarga sayohatlar, talabalar konferensiyalariga borib turardim."
